"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","RNA_snn_res.0.8","seurat_clusters"
"cell_449","cell",3468,1843,0.0288350634371396,"5","5"
"cell_450","cell",3462,1880,0.0288850375505488,"6","6"
"cell_451","cell",3460,1979,0.23121387283237,"5","5"
"cell_452","cell",3463,1915,0.0577533930118394,"0","0"
"cell_453","cell",3456,1976,0,"1","1"
"cell_454","cell",3449,1655,0.376920846622209,"4","4"
"cell_455","cell",3439,1676,0,"0","0"
"cell_456","cell",3440,1878,0.0872093023255814,"3","3"
"cell_457","cell",3436,1758,0,"6","6"
"cell_458","cell",3436,1954,0.0291036088474971,"3","3"
"cell_459","cell",3435,1398,0,"1","1"
"cell_460","cell",3428,1695,0,"1","1"
"cell_461","cell",3431,1947,0.233168172544448,"1","1"
"cell_462","cell",3428,1954,0,"0","0"
"cell_463","cell",3427,1749,0.320980449372629,"4","4"
"cell_464","cell",3425,1986,0.0291970802919708,"9","9"
"cell_465","cell",3419,1565,0.0584966364434045,"7","7"
"cell_466","cell",3415,2092,0.0878477306002928,"2","2"
"cell_467","cell",3410,1815,0.0879765395894428,"1","1"
"cell_468","cell",3399,1780,0,"3","3"
"cell_469","cell",3400,1842,0.117647058823529,"3","3"
"cell_470","cell",3400,1987,0.0294117647058823,"0","0"
"cell_471","cell",3397,1911,0.0294377391816309,"0","0"
"cell_472","cell",3382,2061,0.177409816676523,"2","2"
"cell_473","cell",3377,1967,0.0296120817293456,"5","5"
"cell_474","cell",3376,1966,0.0296208530805687,"4","4"
"cell_475","cell",3380,1669,0.029585798816568,"1","1"
"cell_476","cell",3378,1793,0.029603315571344,"3","3"
"cell_477","cell",3368,1955,0.0296912114014252,"0","0"
"cell_478","cell",3366,1752,0.029708853238265,"4","4"
"cell_479","cell",3361,1961,0.0892591490627789,"5","5"
"cell_480","cell",3364,1906,0,"0","0"
"cell_481","cell",3350,1969,0.0298507462686567,"5","5"
"cell_482","cell",3353,1719,0.0298240381747689,"0","0"
"cell_483","cell",3341,1893,0.0897934750074828,"0","0"
"cell_484","cell",3342,1644,0,"3","3"
"cell_485","cell",3336,1949,0,"9","9"
"cell_486","cell",3336,1900,0,"0","0"
"cell_487","cell",3332,1596,0,"0","0"
"cell_488","cell",3330,1929,0.03003003003003,"0","0"
"cell_489","cell",3330,1462,0,"3","3"
"cell_490","cell",3333,1843,0.15001500150015,"5","5"
"cell_491","cell",3323,2019,0.0601865783930184,"5","5"
"cell_492","cell",3315,1970,0.0301659125188537,"4","4"
"cell_493","cell",3310,2433,0.0906344410876133,"1","1"
"cell_494","cell",3310,2006,0.211480362537764,"4","4"
"cell_495","cell",3306,1844,0.0302480338777979,"3","3"
"cell_496","cell",3303,1707,0.0302755071147442,"3","3"
"cell_497","cell",3307,1839,0.0907166616268521,"0","0"
"cell_498","cell",3303,1712,0.181653042688465,"0","0"
"cell_499","cell",3297,1852,0,"0","0"
"cell_500","cell",3294,1976,0.0303582270795386,"2","2"
"cell_501","cell",3290,1936,0.0911854103343465,"2","2"
"cell_502","cell",3295,1875,0.0606980273141123,"8","8"
"cell_503","cell",3297,1922,0.0303306035790112,"2","2"
"cell_504","cell",3296,1807,0.0606796116504854,"5","5"
"cell_505","cell",3296,1801,0,"5","5"
"cell_506","cell",3285,1922,0.030441400304414,"3","3"
"cell_507","cell",3293,1847,0.0607348921955664,"0","0"
"cell_508","cell",3292,1529,0,"6","6"
"cell_509","cell",3284,1992,0,"5","5"
"cell_510","cell",3290,1498,0.060790273556231,"6","6"
"cell_511","cell",3287,1874,0.0304228780042592,"0","0"
"cell_512","cell",3282,1611,0,"10","10"
"cell_513","cell",3280,1832,0.121951219512195,"7","7"
"cell_514","cell",3278,1842,0.061012812690665,"0","0"
"cell_515","cell",3278,1779,0,"2","2"
"cell_516","cell",3269,2092,0.0305903946160906,"1","1"
"cell_517","cell",3272,2079,0.0305623471882641,"0","0"
"cell_518","cell",3269,1970,0.152951973080453,"8","8"
"cell_519","cell",3262,1946,0.122624156958921,"2","2"
"cell_520","cell",3263,1673,0.183879865154766,"1","1"
"cell_521","cell",3259,1918,0,"0","0"
"cell_522","cell",3259,1639,0,"6","6"
"cell_523","cell",3256,1677,0.0614250614250614,"1","1"
"cell_524","cell",3253,1810,0.215185982170304,"0","0"
"cell_525","cell",3243,1780,0,"0","0"
"cell_526","cell",3241,1814,0.123418697932737,"2","2"
"cell_527","cell",3241,1651,0,"1","1"
"cell_528","cell",3241,1855,0.0308546744831842,"2","2"
"cell_529","cell",3235,1651,0.0927357032457496,"6","6"
"cell_530","cell",3235,2044,0.154559505409583,"2","2"
"cell_531","cell",3229,1787,0.061938680706101,"0","0"
"cell_532","cell",3220,1944,0,"0","0"
"cell_533","cell",3213,1663,0.0311235605353252,"1","1"
"cell_534","cell",3205,1811,0.062402496099844,"0","0"
"cell_535","cell",3207,1457,0,"1","1"
"cell_536","cell",3205,1793,0.124804992199688,"2","2"
"cell_537","cell",3197,1746,0.187675946199562,"0","0"
"cell_538","cell",3199,1833,0.125039074710847,"2","2"
"cell_539","cell",3197,1820,0.156396621832968,"7","7"
"cell_540","cell",3192,1812,0,"4","4"
"cell_541","cell",3182,1903,0,"4","4"
"cell_542","cell",3190,1664,0.188087774294671,"3","3"
"cell_543","cell",3183,1664,0.0314169022934339,"6","6"
"cell_544","cell",3180,1805,0.0314465408805031,"0","0"
"cell_545","cell",3183,1831,0.0628338045868677,"1","1"
"cell_546","cell",3179,1513,0.0314564328405159,"7","7"
"cell_547","cell",3170,1921,0.220820189274448,"4","4"
"cell_548","cell",3155,1901,0.0316957210776545,"5","5"
"cell_549","cell",3161,1698,0.0316355583676052,"8","8"
"cell_550","cell",3153,1943,0.0951474785918173,"5","5"
"cell_551","cell",3155,1680,0.063391442155309,"3","3"
"cell_552","cell",3151,1770,0,"7","7"
"cell_553","cell",3145,1723,0.158982511923688,"7","7"
"cell_554","cell",3128,1823,0,"0","0"
"cell_555","cell",3122,1703,0,"6","6"
"cell_556","cell",3128,1734,0,"3","3"
"cell_557","cell",3110,1892,0,"0","0"
"cell_558","cell",3113,1836,0,"0","0"
"cell_559","cell",3111,1809,0,"5","5"
"cell_560","cell",3110,1610,0,"3","3"
"cell_561","cell",3100,1788,0.032258064516129,"7","7"
