"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",3.08613107306466e-159,1.5466011974217,0.913,0.519,8.50445139804429e-155,"0","MYLK"
"2",1.68547360339711e-142,1.17246172660794,0.966,0.646,4.64465960888141e-138,"0","MT1X"
"3",5.60142098269001e-135,0.984985757858946,0.962,0.808,1.54358358019988e-130,"0","PPA1"
"4",4.30109425290739e-124,0.912016855792704,0.995,0.837,1.18525254327369e-119,"0","MT2A"
"5",1.18897309172964e-123,0.827329702601767,0.994,0.745,3.27645314887937e-119,"0","PTGDS"
"6",9.06189315854115e-115,0.812302979430138,0.489,0.101,2.49718589769918e-110,"0","LINC01088"
"7",1.12665684765622e-112,0.880345465832373,0.989,0.718,3.10472827508624e-108,"0","APOE"
"8",2.94428365316811e-104,0.994853390280055,0.782,0.359,8.11356246303536e-100,"0","MT1G"
"9",3.03032205949214e-103,1.17204961331068,0.976,0.869,8.35065849934249e-99,"0","CRYGS"
"10",3.38952890330495e-103,0.932513546868535,0.739,0.326,9.34052479883746e-99,"0","CHCHD10"
"11",1.25736473118283e-101,1.13085403477648,0.715,0.327,3.46491998972054e-97,"0","RGCC"
"12",1.13437979177898e-100,0.952118886038584,0.876,0.5,3.12601039220532e-96,"0","DAPL1"
"13",5.69858395600873e-97,0.977342358689763,0.716,0.329,1.57035878075733e-92,"0","MT3"
"14",3.55247682931489e-95,0.873553521791905,0.545,0.167,9.78956039854303e-91,"0","RP4-613B23.1"
"15",3.79342174760425e-95,0.71125938811801,0.942,0.866,1.0453532309873e-90,"0","COX7B"
"16",5.48121152089636e-95,0.843394129641375,0.924,0.682,1.51045745881341e-90,"0","LINC00844"
"17",4.52690094887832e-87,0.793781207454662,0.84,0.483,1.2474780944824e-82,"0","NTRK2"
"18",1.48238808589571e-86,0.813559996646238,0.785,0.41,4.08501684830282e-82,"0","PYGL"
"19",5.85695939529628e-83,0.787061225430669,0.744,0.345,1.6140023005618e-78,"0","ENPP5"
"20",3.95488407828876e-81,0.761048302556244,0.756,0.377,1.08984740545403e-76,"0","NDP"
"21",9.75469833367616e-80,0.618399891020359,0.934,0.703,2.68810221981114e-75,"0","ASAH1"
"22",1.86658772640835e-79,1.08886970836212,0.667,0.327,5.14375579766349e-75,"0","RGS2"
"23",1.32932716841943e-78,0.699810049962607,0.959,0.751,3.66322687801342e-74,"0","IGFBP5"
"24",1.2027033335794e-70,0.606229188035561,0.885,0.667,3.31428957634474e-66,"0","PHYHIPL"
"25",2.29218932670696e-69,0.663627329454906,0.759,0.392,6.31658612760636e-65,"0","ALDOC"
"26",8.28557298186991e-68,0.672962260756318,0.892,0.735,2.28325534661389e-63,"0","TSC22D4"
"27",9.36165951325294e-67,0.678450463757236,0.634,0.295,2.57979251206711e-62,"0","MYLIP"
"28",1.66481184482907e-66,0.847374151993258,0.785,0.523,4.58772200079547e-62,"0","CSRP2"
"29",3.1103427266581e-65,0.593929420584304,0.522,0.19,8.57117145185172e-61,"0","AKR1C3.1"
"30",6.24586730804284e-64,0.680557705892598,0.805,0.485,1.72117365407737e-59,"0","PFKFB2"
"31",8.91117252875335e-62,0.66951609697804,0.649,0.336,2.45565181374856e-57,"0","ATP1B1"
"32",4.33477084362132e-61,0.672642852075657,0.66,0.358,1.19453280137673e-56,"0","FAM162A"
"33",7.54700750587562e-61,0.583806599003704,0.53,0.209,2.07972885839415e-56,"0","MT1XP1"
"34",4.14534926640694e-60,0.629789994313386,0.803,0.552,1.14233389734376e-55,"0","ADI1"
"35",8.70460225381989e-60,0.63373748943837,0.565,0.24,2.39872724308515e-55,"0","RP11-887P2.5"
"36",5.83288531964458e-59,0.634524829136409,0.742,0.47,1.60736820753446e-54,"0","TSC22D3"
"37",9.48396284338049e-57,0.604460180605436,0.78,0.485,2.61349564075036e-52,"0","METTL7A"
"38",7.10250730424621e-56,0.600279617429328,0.792,0.538,1.95723793783113e-51,"0","RRAGD"
"39",1.35859315143603e-55,0.603225523364123,0.826,0.52,3.74387514741226e-51,"0","GPNMB"
"40",3.14515487524488e-53,0.64135469374615,0.548,0.24,8.66710328971232e-49,"0","HES1"
"41",1.20043146093426e-50,0.624103636725325,0.579,0.272,3.30802897689653e-46,"0","PLN"
"42",1.9168613120871e-48,0.599860729172331,0.609,0.319,5.28229471771843e-44,"0","CD9"
"43",3.89462980402413e-45,0.61687230918793,0.788,0.599,1.07324313509493e-40,"0","CYCS"
"44",9.38570090723745e-45,0.88674773288541,0.386,0.149,2.58641759900742e-40,"0","RTN1"
"45",2.95931341700888e-43,0.805230076330971,0.727,0.504,8.15497998325138e-39,"0","DDIT4"
"46",2.41507991254736e-39,0.65354644170252,0.369,0.15,6.65523571500676e-35,"0","THOC5"
