"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,1.39476556244264,0.935,0.407,0,"0","MT-CO1"
"2",0,1.27339206528204,0.937,0.453,0,"0","MT-CO3"
"3",1.95678158466386e-307,1.2181981025078,0.938,0.446,4.80839938799451e-303,"0","MT-CO2"
"4",3.50516790776881e-305,1.23195135563792,0.924,0.436,8.61324909976031e-301,"0","MT-ND4"
"5",1.72028563576226e-292,1.25146032042786,0.834,0.298,4.22725789275861e-288,"0","MT-ATP6"
"6",9.68506427022254e-282,1.29786764681052,0.814,0.3,2.37991084312178e-277,"0","MT-ND2"
"7",4.67405087501957e-277,1.35117851967205,0.749,0.239,1.14855452151856e-272,"0","MT-ND1"
"8",6.42456848789718e-270,1.17171069136189,0.963,0.583,1.57870921453097e-265,"0","MT-RNR2"
"9",2.15792172930392e-225,1.12417925050624,0.772,0.305,5.30266106541852e-221,"0","MT-CYB"
"10",4.05755780526959e-212,1.0551214118054,0.736,0.281,9.97063679488897e-208,"0","MT-ND3"
"11",2.89444678650564e-202,1.0353031574635,0.58,0.161,7.11252408848032e-198,"0","MTATP6P1"
"12",2.42197637470961e-187,1.00165377525738,0.642,0.214,5.95152254557392e-183,"0","MT-ND5"
"13",9.39002167641332e-156,0.91873261935672,0.68,0.277,2.30741002654504e-151,"0","MT-RNR1"
"14",9.34870606079388e-133,0.771290833715215,0.374,0.09,2.29725754031888e-128,"0","MTCO1P12"
"15",1.72263527635924e-123,0.735242212027373,0.351,0.085,4.23303166459756e-119,"0","MTCO1P40"
"16",6.40605384463568e-103,0.634849756948282,0.285,0.064,1.57415961124233e-98,"0","MTND1P23"
"17",1.68245399079581e-100,0.720129744558409,0.345,0.098,4.13429419158255e-96,"0","AC114498.1"
"18",1.38923074544708e-97,0.925334503073792,0.726,0.429,3.41375671078711e-93,"0","MALAT1.1"
"19",3.91780225556706e-95,0.682329588994982,0.341,0.099,9.62721548260494e-91,"0","MTRNR2L1"
"20",1.11286179425843e-90,0.647271579368355,0.361,0.115,2.73463528703123e-86,"0","MT-ND4L"
"21",3.68232939973644e-80,0.57286402541886,0.3,0.089,9.04858803397236e-76,"0","MTCO2P12"
"22",6.87020662216934e-79,0.551340141878614,0.278,0.078,1.68821587326567e-74,"0","MTND4P12"
"23",3.74153519325454e-73,0.41901629257176,0.956,0.847,9.19407443038437e-69,"0","SUMF2"
"24",6.81850170471059e-69,0.380561820075573,0.983,0.896,1.67551042389853e-64,"0","CCT6A"
"25",1.00632379465747e-54,0.568509905087559,0.449,0.221,2.47283946061181e-50,"0","POSTN"
"26",4.01794047946991e-47,0.405376418731425,0.833,0.662,9.87328514020142e-43,"0","PTPRZ1"
"27",3.07666291512489e-45,0.487085799464715,0.812,0.629,7.56028378133638e-41,"0","PHKG1"
"28",2.61716958840514e-44,0.552012150408171,0.456,0.251,6.43117082958795e-40,"0","TRIO"
"29",4.36424473747401e-41,0.392170385301446,0.726,0.536,1.07242585933949e-36,"0","APP"
"30",6.13240120107009e-39,0.37112677562892,0.897,0.749,1.50691494713895e-34,"0","EGFR"
"31",3.34167150389795e-38,0.45847914777832,0.333,0.165,8.21148938652844e-34,"0","ADGRB1"
"32",8.91876042011062e-38,0.415412987655495,0.622,0.42,2.19160699803378e-33,"0","MLC1"
"33",3.47996765163178e-36,0.395822834136047,0.479,0.284,8.55132451035477e-32,"0","KCTD12"
"34",7.36484371294707e-35,0.594252125420949,0.351,0.19,1.80976304558248e-30,"0","NELL1"
"35",9.67274050262234e-34,0.34136088578151,0.806,0.646,2.37688252370939e-29,"0","PSPH"
"36",2.59458174148692e-33,0.420222845573513,0.478,0.294,6.37566571335581e-29,"0","SLC4A4"
"37",3.71357989732313e-30,0.42010188903101,0.384,0.221,9.12537988169212e-26,"0","GPR37L1"
"38",1.07712940518928e-29,0.437160582584639,0.362,0.208,2.64683008737162e-25,"0","RPH3A"
"39",4.57563777284782e-29,0.341828897252076,0.644,0.473,1.12437146992189e-24,"0","LANCL2"
"40",2.38406550442324e-28,0.332943865965022,0.523,0.341,5.85836416401923e-24,"0","NRCAM"
"41",1.97126388341162e-27,0.42541114540847,0.378,0.223,4.84398674070736e-23,"0","CDK6"
"42",4.76548894205623e-27,0.394087155893846,0.347,0.203,1.17102359773148e-22,"0","CAMK2B"
"43",6.4446819869664e-27,0.44540514817055,0.514,0.347,1.58365170465725e-22,"0","OLIG1"
"44",1.87817474926075e-25,0.399909241699695,0.422,0.272,4.61523881135845e-21,"0","NOS2"
"45",4.41150050594444e-25,0.328821802341203,0.312,0.174,1.08403801932573e-20,"0","RRBP1"
"46",8.75637510339814e-24,0.355974566338038,0.26,0.138,2.15170405415802e-19,"0","RPS6KA2"
"47",1.24222220702419e-22,0.317970041966319,0.265,0.143,3.05251262932053e-18,"0","MYO10"
"48",2.98132266084049e-21,0.340398703666637,0.515,0.365,7.32600417448333e-17,"0","CCND2"
"49",1.74878180520935e-19,0.320942833444916,0.331,0.204,4.29728152994094e-15,"0","CADM2"
"50",1.88777982273655e-13,0.323471909461382,0.285,0.19,4.63884135841051e-09,"0","AK4"
"51",1.97107165003007e-235,0.851189404697597,0.99,0.892,4.8435143656189e-231,"1","DBI"
"52",6.19547568530367e-153,0.565472442645239,0.995,0.928,1.52241424014967e-148,"1","MT3"
"53",2.22288075230446e-136,0.859030878741772,0.781,0.49,5.46228487263775e-132,"1","DBIP1"
"54",2.17687000981787e-128,0.49118356310269,0.992,0.952,5.34922267512544e-124,"1","GAPDH"
"55",2.49262263586603e-116,0.519801134913784,0.98,0.887,6.12512160311359e-112,"1","CST3"
"56",1.69548620135692e-81,0.40348086015091,0.966,0.884,4.16631824259436e-77,"1","NDUFA4"
"57",2.61801940027099e-80,0.361608596891879,0.974,0.904,6.43325907228591e-76,"1","PPIA"
"58",3.30863240933321e-73,0.401104397373262,0.99,0.974,8.1303024194545e-69,"1","B2M"
"59",5.94204360784273e-67,0.377438096553679,0.941,0.86,1.46013837575519e-62,"1","CD63"
"60",7.27302811594759e-63,0.495897240217078,0.978,0.941,1.7872011989318e-58,"1","MT2A"
"61",1.66560499099218e-55,0.386574278138025,0.897,0.821,4.09289114436508e-51,"1","COX7C"
"62",1.27813991392221e-51,0.610513416335794,0.777,0.638,3.14077321048105e-47,"1","IFI6"
"63",1.7469461638053e-51,0.431667149837641,0.774,0.614,4.29277080831875e-47,"1","TIMP1"
"64",3.95899551903331e-49,0.426976176949625,0.824,0.706,9.72843968892056e-45,"1","SRI"
"65",1.09291580335567e-48,0.437105583366901,0.796,0.641,2.68562200358588e-44,"1","RP11-270C12.3"
"66",2.25731567542865e-45,0.372222014886409,0.868,0.775,5.54690180923082e-41,"1","NGFRAP1"
"67",3.97528397270493e-43,0.374328129435801,0.856,0.743,9.76846530612782e-39,"1","CKB"
"68",6.58598971025473e-42,0.513429837439041,0.661,0.491,1.61837525150089e-37,"1","HOPX"
"69",9.17550829229892e-42,0.427243461316971,0.79,0.668,2.25469765266661e-37,"1","UQCR10"
"70",2.56536643047026e-41,0.500157880522899,0.655,0.489,6.30387492959456e-37,"1","S100B"
"71",1.71261832161625e-40,0.549345814106279,0.703,0.56,4.2084170017076e-36,"1","MT2P1"
"72",3.27845168322083e-40,0.443438885521947,0.763,0.618,8.05613932117855e-36,"1","FABP7"
"73",1.28567347406961e-35,0.369543032426552,0.776,0.67,3.15928542783125e-31,"1","PPIB"
"74",4.22222225586381e-34,0.38877277571629,0.748,0.631,1.03752667493341e-29,"1","SUB1"
"75",4.14531818104205e-31,0.390109853413978,0.721,0.623,1.01862903662746e-26,"1","ATP5J2"
"76",2.19895297271784e-30,0.380632519173354,0.715,0.614,5.40348713985955e-26,"1","POLR2L"
"77",2.12888137263939e-28,0.366001779799177,0.724,0.632,5.23130019698677e-24,"1","ATP5G3"
"78",1.35266635572931e-26,0.397858985375342,0.615,0.502,3.32390703593364e-22,"1","PPIAP22"
"79",1.92002389227637e-25,0.504636057815994,0.376,0.239,4.71807471049072e-21,"1","POSTN"
"80",1.14825747584391e-23,0.424068959146684,0.523,0.401,2.82161309539123e-19,"1","RP11-159J3.1"
"81",1.71445779678526e-23,0.397349825076401,0.557,0.435,4.21293714404041e-19,"1","NME1"
"82",1.84969826971502e-23,0.382503656783193,0.616,0.509,4.54526355817071e-19,"1","ZYX"
"83",4.0179076707208e-23,0.445600893445145,0.524,0.413,9.87320451926222e-19,"1","GAPDHP63"
"84",1.90852708325874e-21,0.384695960573478,0.543,0.435,4.68982360169171e-17,"1","TMSB4XP8"
"85",4.14048787408254e-20,0.371860106680577,0.512,0.399,1.0174420852983e-15,"1","S100A16"
"86",2.8072032856466e-19,0.463233960614968,0.387,0.268,6.89814063381939e-15,"1","SCRG1"
"87",1.73704901073457e-17,0.389000383099501,0.443,0.337,4.26845053407806e-13,"1","AZGP1"
"88",2.52543418900951e-17,0.369680910411328,0.539,0.437,6.20574943265308e-13,"1","MT1XP1"
"89",3.12345287546006e-17,0.357225354865043,0.5,0.406,7.67526075086802e-13,"1","COX6CP1"
"90",7.41813742062555e-17,0.414190308452381,0.381,0.274,1.82285890837032e-12,"1","BST2"
"91",8.85653423604379e-17,0.405862656087959,0.34,0.234,2.17631615782304e-12,"1","METTL7B"
"92",9.89373707741777e-17,0.402211605363191,0.413,0.312,2.43118801203387e-12,"1","TUBB2A"
"93",1.17726523500937e-16,0.380347463173113,0.333,0.23,2.89289386198852e-12,"1","SUB1P3"
"94",1.27263908456596e-16,0.364099079772293,0.498,0.402,3.12725602250393e-12,"1","RPL22L1"
"95",1.65932382090313e-16,0.454875780354718,0.29,0.191,4.07745642510526e-12,"1","CYTL1"
"96",2.00574782717249e-16,0.403644013994345,0.375,0.278,4.92872413571097e-12,"1","GAPDHP65"
"97",8.19749354397778e-16,0.374314290928232,0.425,0.325,2.01437008856166e-11,"1","GNG7"
"98",8.65499842776627e-13,0.378307096125317,0.481,0.403,2.12679276365501e-08,"1","TXNDC17"
"99",2.71293292200669e-12,0.356246796074354,0.441,0.366,6.66649006924704e-08,"1","COX7CP1"
"100",5.73265448145431e-10,0.356715632828561,0.311,0.235,1.40868518572777e-05,"1","MANF"
"101",0,2.87567953488265,0.902,0.276,0,"2","GFAP"
"102",0,2.03425274899242,0.984,0.6,0,"2","APOE"
"103",1.27052914020215e-292,1.26109874411087,0.979,0.786,3.12207125621874e-288,"2","CLU"
"104",1.33272874086238e-240,1.61509220003911,0.763,0.322,3.27491433492112e-236,"2","AQP4"
"105",1.39152463922735e-228,1.85846793265065,0.413,0.056,3.41939349597337e-224,"2","ID3"
"106",8.89315096038763e-189,1.53917851484941,0.698,0.306,2.18531398549605e-184,"2","NMB"
"107",4.23912460296011e-145,1.25085422991079,0.831,0.57,1.04168008868539e-140,"2","CRYAB"
"108",6.84885731939953e-119,1.33540279301737,0.654,0.367,1.68296970909605e-114,"2","ITM2C"
"109",4.65180404426871e-118,0.845933917352482,0.835,0.626,1.14308780779815e-113,"2","CPE"
