"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",1.52198117175774e-101,1.22467803595987,0.947,0.591,3.76142426788207e-97,"0","VEGFA"
"2",1.07360010818938e-65,1.20744264203013,0.751,0.368,2.65329530737923e-61,"0","OLFM1"
"3",2.57594788287601e-45,1.31636020603707,0.463,0.162,6.36619759773976e-41,"0","C8orf22"
"4",8.30286834317124e-45,0.849970314040554,0.797,0.575,2.05197088233134e-40,"0","ENO2"
"5",2.82249589051759e-39,0.609778503606463,0.874,0.651,6.97551634382517e-35,"0","PGK1"
"6",1.38813891116718e-33,0.623259518340976,0.853,0.715,3.43064650505858e-29,"0","SEC61G"
"7",1.86010302580154e-27,0.687378297949678,0.452,0.208,4.59705861796594e-23,"0","CHPF"
"8",1.49664458602687e-26,0.768302626482025,0.807,0.617,3.69880742990681e-22,"0","IGFBP2"
"9",2.69520578698515e-24,0.850213089711419,0.35,0.148,6.66093158195511e-20,"0","ATF5"
"10",5.65609151691919e-24,0.610973939252512,0.251,0.078,1.39784645749141e-19,"0","PPFIA4"
"11",1.05759178725001e-23,0.719692826527301,0.361,0.156,2.61373234300968e-19,"0","DNAJB9"
"12",7.65668909522842e-23,0.626399061946778,0.679,0.512,1.89227414299475e-18,"0","CCNL1"
"13",2.97236486640307e-22,0.60281286948057,0.717,0.547,7.34590253082855e-18,"0","WSB1"
"14",4.79246493796581e-22,0.538398918154823,0.361,0.149,1.18440978476887e-17,"0","NDUFA4L2"
"15",7.37237064614391e-22,0.728813187952622,0.313,0.128,1.82200768148801e-17,"0","CA9"
"16",5.44792583630576e-21,0.634314742253411,0.543,0.327,1.34640039118461e-16,"0","MEG3"
"17",4.01482479237602e-20,0.684008143232345,0.38,0.184,9.9222379918781e-16,"0","PLOD2"
"18",1.17973254579863e-19,0.62934200500875,0.62,0.429,2.91559101368674e-15,"0","CPE"
"19",9.59570434210421e-17,0.521500504326855,0.275,0.115,2.37148237110764e-12,"0","XBP1"
"20",1.23080284266042e-16,0.735482831550304,0.556,0.405,3.04180614535095e-12,"0","HSPA5"
"21",1.44552063332979e-16,0.71164243067312,0.631,0.463,3.57245969321125e-12,"0","NEAT1"
"22",1.76989474885508e-16,0.614672057725704,0.433,0.256,4.37411788232044e-12,"0","FAM131A"
"23",4.52630116019879e-16,0.552948879253871,0.291,0.132,1.11863006873153e-11,"0","P4HA1"
"24",1.28759250586862e-15,0.540665060776504,0.417,0.237,3.1821561190037e-11,"0","NPIPP1"
"25",8.19604670664109e-15,0.6303386917361,0.436,0.26,2.02557098307928e-10,"0","SLC6A8"
"26",2.08982270738185e-14,0.535724696441949,0.326,0.161,5.16478783902349e-10,"0","ADM"
"27",3.98796639329617e-14,0.456901761540817,0.524,0.343,9.85586014439217e-10,"0","BTG1"
"28",4.41089019922206e-12,0.606642982405755,0.46,0.32,1.09010740383574e-07,"0","MYDGF"
"29",5.57255004012083e-12,0.504109414946365,0.27,0.138,1.37720001691546e-07,"0","SLC33A1"
"30",2.77926285031125e-11,0.504806645759602,0.348,0.208,6.86867020825923e-07,"0","BCHE"
"31",1.12014943703631e-10,0.555519371740689,0.393,0.26,2.76833731869153e-06,"0","MCFD2"
"32",1.75492295066932e-10,0.496030759812476,0.513,0.392,4.33711658028416e-06,"0","P4HB"
"33",1.89003307634938e-10,0.534576823563319,0.479,0.352,4.67102774488985e-06,"0","PDIA3"
"34",3.37050359026125e-10,0.510671202231382,0.291,0.168,8.32986257297165e-06,"0","DDIT3"
"35",3.70211467620382e-10,0.507920549544222,0.348,0.216,9.14940621077011e-06,"0","VIMP"
"36",4.980198893863e-10,0.463907678506046,0.572,0.472,1.2308063546293e-05,"0","SEC61A1"
"37",5.64063687114036e-10,0.477503163152349,0.529,0.392,1.39402699633363e-05,"0","ARL4C"
"38",1.02070447207519e-09,0.491143341416286,0.318,0.193,2.52256903228663e-05,"0","XPOT"
"39",2.22343547824892e-09,0.454524382989825,0.693,0.623,5.49499844094439e-05,"0","PPIB"
"40",2.67756101086494e-09,0.45085713913847,0.302,0.179,6.61732428225162e-05,"0","CCDC93"
"41",3.79461717490584e-09,0.504428457730867,0.39,0.265,9.37801688606228e-05,"0","OBSL1"
"42",2.49037503362141e-08,0.456639486282944,0.281,0.17,0.000615471285809195,"0","TDRP"
"43",3.78585662372019e-08,0.517978826303774,0.372,0.249,0.000935636605986207,"0","GARS"
"44",6.33359736452035e-08,0.577184293763274,0.455,0.376,0.00156528525266756,"0","SSR3"
"45",1.30331418305349e-07,0.546993106730272,0.361,0.257,0.0032210106719984,"0","NUCB2"
"46",3.30278697010716e-07,0.495304649958187,0.286,0.186,0.00816250771792283,"0","ASNS"
"47",3.43122102788e-07,0.466562842742705,0.551,0.472,0.00847991964830264,"0","SNRNP70"
"48",4.86440740633103e-06,0.488961089447604,0.433,0.357,0.120218964640065,"0","SEC11C"
"49",9.99800286994129e-06,0.458316431922921,0.259,0.174,0.247090642927729,"0","PLPP5"
"50",0.00031838325130132,0.481087610517251,0.42,0.357,1,"0","FABP5"
"51",1.40221026058807e-135,1.21673924893855,0.54,0.058,3.46542243801737e-131,"1","KIAA0101"
"52",1.16003365848185e-133,1.17550782840329,0.995,0.78,2.86690718357204e-129,"1","TUBA1B"
"53",8.97585491644354e-123,1.31612585120097,0.868,0.305,2.21829278404986e-118,"1","HMGB2"
"54",7.81688238711389e-108,1.08945915786616,0.962,0.648,1.93186431315133e-103,"1","TUBB"
"55",1.03065303025561e-107,1.16554623429166,0.589,0.109,2.54715589897371e-103,"1","TYMS"
"56",1.42008350690761e-101,1.16153789126496,0.91,0.539,3.50959437897146e-97,"1","HMGN2"
"57",1.96374579477696e-99,1.03321059111955,0.499,0.076,4.85320135721178e-95,"1","ZWINT"
"58",4.71595740068376e-98,1.01921966914973,0.532,0.085,1.16550171200498e-93,"1","NUSAP1"
"59",6.44055253292843e-96,1.14283540072053,0.559,0.11,1.59171815298793e-91,"1","MCM2"
"60",2.02025459668608e-95,0.981984383784257,0.518,0.083,4.99285721024997e-91,"1","TOP2A"
"61",1.74487076980837e-90,0.964077222758504,0.945,0.643,4.31227362050442e-86,"1","HMGB1"
"62",9.44583399773456e-90,0.952324423166852,0.559,0.108,2.33444341420012e-85,"1","UBE2C"
"63",1.56776797805208e-89,1.0184692044633,0.455,0.067,3.87458178095791e-85,"1","AURKB"
"64",8.457365427979e-83,0.928167092052688,0.529,0.104,2.09015329187073e-78,"1","BIRC5"
"65",1.41400124874262e-79,0.75196288053357,0.307,0.026,3.4945626861425e-75,"1","MYBL2"
"66",1.15200609972519e-77,0.874327065793594,0.449,0.077,2.84706787486084e-73,"1","CDK1"
"67",4.20937471922159e-76,0.956878407444485,0.515,0.118,1.04030486810842e-71,"1","DHFR"
"68",1.66131185845186e-75,0.753856085502132,0.296,0.026,4.10576612697792e-71,"1","TK1"
"69",1.60674626959683e-74,0.944300614381639,0.485,0.101,3.97091273068161e-70,"1","MAD2L1"
"70",5.88686940014752e-74,0.884151056160338,0.411,0.066,1.45488090355246e-69,"1","MKI67"
"71",9.16725205387991e-73,0.813441463843023,0.326,0.038,2.26559467259588e-68,"1","PKMYT1"
"72",1.19015498206641e-72,0.816837298120099,0.447,0.083,2.94134902267892e-68,"1","FOXM1"
"73",7.29818057226133e-72,0.858603013016998,0.408,0.067,1.80367234662866e-67,"1","PBK"
"74",1.02716231339986e-70,0.986775622665234,0.455,0.094,2.53852894133641e-66,"1","MCM4"
"75",3.81882460273483e-70,0.845533625999389,0.353,0.05,9.43784312319886e-66,"1","CENPM"
"76",5.33787682040976e-70,0.795207615339369,0.312,0.035,1.31920287739607e-65,"1","CDCA5"
"77",8.53827557252471e-70,0.958508298206567,0.682,0.243,2.11014942499376e-65,"1","TMSB15A"
"78",2.65441548355342e-68,0.777472625700592,0.384,0.064,6.56012242605393e-64,"1","CENPU"
"79",2.66384383119205e-67,0.943945303217238,0.46,0.101,6.58342364440804e-63,"1","UBE2T"
"80",8.53885764981514e-67,0.806053305642903,0.315,0.041,2.11029327957531e-62,"1","SPC24"
"81",1.07747652921416e-66,0.816795561981956,0.389,0.068,2.66287549429988e-62,"1","FANCI"
"82",1.4685080751456e-66,0.83942515694035,0.414,0.081,3.62927085691484e-62,"1","FANCD2"
"83",2.8169982287182e-62,0.847524775323014,0.603,0.191,6.96192942245416e-58,"1","PTTG1"
"84",3.88335790131762e-62,0.820581578358247,0.458,0.104,9.59733071731637e-58,"1","UHRF1"
