"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","RNA_snn_res.0.8","seurat_clusters"
"cell_3","cell",13826,4334,0.325473745117894,"6","6"
"cell_4","cell",13575,4319,1.20073664825046,"4","4"
"cell_5","cell",13346,4554,0.232279334632099,"1","1"
"cell_6","cell",13254,4194,3.72717670137317,"3","3"
"cell_7","cell",13101,4315,0.84726356766659,"5","5"
"cell_8","cell",12781,4384,1.86213911274548,"2","2"
"cell_9","cell",12676,3983,1.57778479015462,"2","2"
"cell_10","cell",12291,4111,1.07395655357579,"2","2"
"cell_11","cell",12216,4077,0.35199738048461,"1","1"
"cell_12","cell",12205,3959,1.18803768947153,"2","2"
"cell_13","cell",12160,3966,1.48026315789474,"2","2"
"cell_14","cell",11960,4262,0.250836120401338,"4","4"
"cell_15","cell",11890,4183,0.80740117746005,"2","2"
"cell_16","cell",11770,3941,0.271877655055225,"2","2"
"cell_17","cell",11657,3771,1.21815218323754,"0","0"
"cell_18","cell",11654,3773,0.257422344259482,"3","3"
"cell_19","cell",11644,3845,1.25386465132257,"1","1"
"cell_20","cell",11448,3963,1.58979734451433,"2","2"
"cell_21","cell",11361,3787,1.54035736290819,"2","2"
"cell_22","cell",11217,3591,1.95239368815191,"1","1"
"cell_23","cell",11222,3647,1.52379255034753,"4","4"
"cell_24","cell",11098,3489,0.639754910794738,"2","2"
"cell_25","cell",11083,3785,0.460164215465127,"2","2"
"cell_26","cell",10986,3651,0.582559621336246,"2","2"
"cell_27","cell",10979,3816,1.15675380271427,"1","1"
"cell_28","cell",10808,3832,0.971502590673575,"1","1"
"cell_29","cell",10769,3576,0.761444888104745,"2","2"
"cell_30","cell",10718,3454,0.429184549356223,"2","2"
"cell_31","cell",10665,3603,1.74402250351617,"2","2"
"cell_32","cell",10421,3687,0.211112177334229,"4","4"
"cell_33","cell",10341,3574,0.212745382458176,"2","2"
"cell_34","cell",10279,3413,0.165385737912248,"2","2"
"cell_35","cell",10278,3911,1.09943568787702,"0","0"
"cell_36","cell",10112,3723,4.74683544303798,"1","1"
"cell_37","cell",10095,3461,0.812283308568598,"2","2"
"cell_38","cell",10060,3372,0.467196819085487,"2","2"
"cell_39","cell",10027,3709,1.7452877231475,"2","2"
"cell_40","cell",10018,3804,0.608903972848872,"2","2"
"cell_41","cell",10003,3183,0.469859042287314,"0","0"
"cell_42","cell",9981,3479,0.470894699929867,"1","1"
"cell_43","cell",9935,3446,0.412682435832914,"2","2"
"cell_44","cell",9881,3791,0.232769962554397,"4","4"
"cell_45","cell",9860,3853,1.68356997971602,"1","1"
"cell_46","cell",9631,3461,0.166130204547814,"6","6"
"cell_47","cell",9608,3056,0.135303913405495,"0","0"
"cell_48","cell",9537,3385,0.51378840306176,"2","2"
"cell_49","cell",9559,3489,0.732294173030652,"1","1"
"cell_50","cell",9546,3384,0.796144982191494,"1","1"
"cell_51","cell",9504,3361,0.852272727272727,"2","2"
"cell_52","cell",9490,3338,0.821917808219178,"2","2"
"cell_53","cell",9351,3587,0.609560474815528,"2","2"
"cell_54","cell",9302,3238,2.71984519458181,"2","2"
"cell_55","cell",9261,3237,0.421120829284095,"1","1"
"cell_56","cell",9216,3231,0.347222222222222,"2","2"
"cell_57","cell",9219,3235,1.77893480854756,"6","6"
"cell_58","cell",9210,3534,1.10749185667752,"1","1"
"cell_59","cell",9135,3451,0.448823207443897,"1","1"
"cell_60","cell",9108,2965,2.18489240228371,"0","0"
"cell_61","cell",9055,3441,0.287134180011044,"2","2"
"cell_62","cell",9042,3527,1.7805795178058,"1","1"
"cell_63","cell",9035,3117,0.0774764803541782,"2","2"
"cell_64","cell",9003,3113,0.233255581472842,"2","2"
"cell_65","cell",8913,2988,1.50342196791204,"2","2"
"cell_66","cell",8855,3171,1.34387351778656,"2","2"
"cell_67","cell",8840,2864,0.282805429864253,"0","0"
"cell_68","cell",8784,3423,0.227686703096539,"4","4"
"cell_69","cell",8669,3374,2.20325297035414,"1","1"
"cell_70","cell",8663,2926,0.75031744199469,"2","2"
"cell_71","cell",8629,2915,2.15552207671804,"2","2"
"cell_72","cell",8561,3486,0.42051162247401,"4","4"
"cell_73","cell",8569,3454,1.08530750379274,"1","1"
"cell_74","cell",8569,3063,0.140039677908741,"0","0"
"cell_75","cell",8525,3052,2.01759530791789,"2","2"
"cell_76","cell",8443,3233,1.96612578467369,"2","2"
"cell_77","cell",8348,2718,1.05414470531864,"2","2"
"cell_78","cell",8261,3262,0.944195617963927,"2","2"
"cell_79","cell",8221,2996,2.23817053886389,"2","2"
"cell_80","cell",8130,3061,0.885608856088561,"1","1"
