"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",1.56344748993646e-72,0.546535318218363,0.865,0.71,3.59530384785789e-68,"0","DBI"
"2",1.44533287687625e-57,0.468616598348262,0.854,0.677,3.32368748366462e-53,"0","MT3"
"3",2.39210901274992e-44,0.647320469625659,0.55,0.342,5.50089388571972e-40,"0","S100B"
"4",1.9086569761432e-42,0.36151347854535,0.899,0.788,4.38914758233889e-38,"0","RPS2"
"5",5.63970031747457e-41,0.652749939218914,0.491,0.288,1.29690548500645e-36,"0","POSTN"
"6",2.47478865853616e-34,0.375205882386163,0.787,0.648,5.69102399916975e-30,"0","RPS19P1"
"7",8.01102358058214e-33,0.555648345949258,0.465,0.283,1.84221498259067e-28,"0","DBIP1"
"8",7.4194738964404e-32,0.370429769694038,0.804,0.689,1.70618221722543e-27,"0","NDUFA4"
"9",1.20043190460363e-31,0.508928810909373,0.608,0.443,2.76051320782651e-27,"0","PTPRZ1"
"10",3.1631367018582e-31,0.453230384416968,0.716,0.597,7.27394915959311e-27,"0","FABP5"
"11",3.59264485716413e-28,0.412877105398391,0.641,0.472,8.26164611353463e-24,"0","RP11-122G18.7"
"12",3.98790862359734e-27,0.367828088083737,0.713,0.573,9.17059467082444e-23,"0","RPL13AP5"
"13",1.00713584223032e-24,0.565894067012742,0.295,0.156,2.31600958279284e-20,"0","CSPG5"
"14",3.57910540909036e-24,0.342313499665178,0.718,0.603,8.23051079874418e-20,"0","RPS19P3"
"15",1.69184385975713e-23,0.350172267581245,0.704,0.595,3.8905641398975e-19,"0","RPL23A"
"16",1.46843045635182e-22,0.395083201191827,0.631,0.49,3.37680267742664e-18,"0","AC079250.1"
"17",6.66766716973788e-22,0.371569049266556,0.478,0.322,1.53329674235292e-17,"0","CCND2"
"18",7.49078867292178e-22,0.410019215567712,0.565,0.42,1.72258176322509e-17,"0","RPS2P5"
"19",8.7353004202158e-22,0.390421122412336,0.608,0.464,2.00876968463283e-17,"0","EEF1A1P5"
"20",1.06995452756427e-20,0.549221546555275,0.315,0.184,2.46046743158679e-16,"0","OLIG1"
"21",2.12760843280625e-20,0.444835847089139,0.459,0.324,4.89264835208125e-16,"0","RP11-270C12.3"
"22",6.14143995468774e-20,0.482579885237449,0.429,0.296,1.41228553197999e-15,"0","SCRG1"
"23",3.49536782563361e-18,0.414506967516945,0.476,0.352,8.03794785182705e-14,"0","RPS2P46"
"24",8.99928872997256e-18,0.370070113249333,0.558,0.437,2.06947643634449e-13,"0","CTC-575D19.1"
"25",2.50911031117662e-17,0.390851154161633,0.429,0.299,5.76995007158176e-13,"0","FABP7"
"26",2.52333099049618e-17,0.354025243918045,0.591,0.474,5.80265194574501e-13,"0","CTD-2192J16.15"
"27",8.53518542038434e-17,0.368842493065664,0.562,0.444,1.96275123927158e-12,"0","RPL18AP3"
"28",1.29615595973054e-16,0.366111859126373,0.522,0.396,2.98064024499636e-12,"0","RPL23AP42"
"29",2.79016275849614e-16,0.368212145180811,0.563,0.455,6.41625827943772e-12,"0","RPL26P19"
"30",3.09277493896345e-16,0.35650774848738,0.526,0.409,7.11214524964035e-12,"0","AC004453.8"
"31",4.76142215168561e-16,0.374463339796989,0.482,0.366,1.09493663800162e-11,"0","PRDX2"
"32",1.24015612498573e-15,0.394282875807153,0.424,0.305,2.85186302501719e-11,"0","NOVA1"
"33",6.41354215432418e-15,0.345428657868106,0.442,0.326,1.47485815380839e-10,"0","NME2P1"
"34",1.81309986666295e-14,0.399568267823434,0.371,0.26,4.16940445337813e-10,"0","RPS2P7"
"35",1.99649833999533e-14,0.436595759468049,0.321,0.212,4.59114758265327e-10,"0","ETV1"
"36",3.34705614388777e-14,0.350457530207145,0.437,0.319,7.69689030848432e-10,"0","RP5-827C21.1"
"37",3.77536837478876e-13,0.373156166868419,0.334,0.229,8.68183711466424e-09,"0","RP11-364L4.1"
"38",1.38279274650222e-12,0.356106714521021,0.279,0.181,3.17987019985649e-08,"0","RPL23AP65"
"39",4.38781406199655e-12,0.393435402273661,0.274,0.181,1.00902172169673e-07,"0","MDK"
"40",7.4975050602436e-12,0.344907867413969,0.475,0.376,1.72412626365362e-07,"0","NDUFA3"
"41",8.94746174453812e-12,0.346478267075198,0.372,0.269,2.05755830277399e-07,"0","RPL13AP20"
"42",1.11344718724588e-11,0.352241427745068,0.356,0.256,2.56048315179062e-07,"0","RPS2P55"
"43",1.76580072978788e-10,0.361421681683468,0.377,0.286,4.0606353582202e-06,"0","RPL7P9"
"44",1.80586366900152e-10,0.355446858219074,0.406,0.317,4.1527640932359e-06,"0","NME1"
"45",2.32809027344186e-10,0.369960603004707,0.347,0.258,5.3536763928069e-06,"0","RPL7AP6"
"46",2.47320117674011e-10,0.365109968199867,0.35,0.258,5.68737342603155e-06,"0","NES"
"47",7.45467355672345e-10,0.387823214742594,0.262,0.18,1.71427673110412e-05,"0","MMP2"
"48",1.56237199845688e-09,0.343813646875806,0.325,0.241,3.59283064765144e-05,"0","RPL34P18"
"49",2.79004627556147e-08,0.348274266717032,0.255,0.179,0.000641599041528116,"0","METRN"
"50",1.32320570127349e-07,0.346171941959444,0.264,0.195,0.00304284383064851,"0","RP11-389O22.5"
"51",1.43706914182466e-172,1.66297581373777,0.486,0.07,3.30468419853999e-168,"1","HIST1H4C"
"52",5.55807279365401e-129,0.894394686818158,0.936,0.654,1.27813441962868e-124,"1","TUBA1B"
"53",7.20808870743362e-116,1.03272646240109,0.839,0.458,1.65757207916144e-111,"1","TUBB"
"54",4.10931314298225e-97,0.896555473340961,0.804,0.432,9.44977650360198e-93,"1","HMGB1"
"55",9.76967949039866e-82,1.0956969765625,0.368,0.088,2.24663549561208e-77,"1","TYMS"
"56",2.02380203487757e-76,0.8918711214855,0.513,0.171,4.65393515940447e-72,"1","HMGB2"
"57",8.20546697295735e-72,0.939137518539757,0.293,0.061,1.88692918510127e-67,"1","RP11-673C5.1"
"58",1.19435157193705e-67,0.954229553936504,0.386,0.115,2.74653087482643e-63,"1","HMGB1P5"
"59",1.56330202660514e-63,0.951755579432219,0.281,0.064,3.59496934038117e-59,"1","RP11-701I24.1"
"60",2.86753192672479e-62,0.778566413571813,0.672,0.348,6.59417641869632e-58,"1","HMGN2"
"61",1.65298098219231e-61,0.905866012075128,0.339,0.093,3.80119506664944e-57,"1","PCNA"
"62",3.58032831255074e-51,0.427670824705161,0.944,0.821,8.23332298754169e-47,"1","PPIA"
"63",2.34979146109991e-47,0.852214152217244,0.268,0.076,5.40358044394535e-43,"1","RNASEH2A"
"64",5.23165573688892e-41,0.548137780174604,0.58,0.295,1.20307155325498e-36,"1","UBE2S"
"65",1.28832169730453e-39,0.569404230508282,0.722,0.473,2.96262457512151e-35,"1","YBX1"
"66",4.47924198319539e-39,0.400870539897313,0.92,0.802,1.03004648645561e-34,"1","RPS2"
"67",9.0525347873772e-38,0.602544579190767,0.555,0.3,2.08172089970526e-33,"1","H2AFZ"
"68",4.72030676219999e-32,0.654987226893513,0.272,0.101,1.08548174303551e-27,"1","TUBBP1"
"69",1.54177035938964e-28,0.405450767872538,0.85,0.713,3.54545511845242e-24,"1","RPL35"
"70",1.70059122032063e-28,0.443239053270302,0.768,0.563,3.91067957024933e-24,"1","AC007969.5"
"71",6.44459279563336e-28,0.469842374014271,0.646,0.427,1.48199855928385e-23,"1","RPS2P5"
"72",4.62033673004809e-25,0.645903479282105,0.317,0.149,1.06249263444186e-20,"1","DEK"
"73",5.02823401131393e-24,0.439621855164988,0.68,0.492,1.15629269324175e-19,"1","RP11-122G18.7"
"74",7.3941453318403e-24,0.563712393945799,0.383,0.199,1.70035766051e-19,"1","RANBP1"
"75",5.0738574566463e-23,0.56342645211294,0.264,0.116,1.16678426073038e-18,"1","TUBAP2"
"76",7.91221522864879e-23,0.504069159796195,0.547,0.366,1.81949301398008e-18,"1","PPDPF"
"77",2.70925635683593e-22,0.464199460834687,0.457,0.262,6.23020591817991e-18,"1","RPS2P7"
"78",7.95270063843622e-22,0.428767853694545,0.553,0.357,1.82880303881479e-17,"1","RPS2P46"
"79",2.11789941597498e-20,0.508259671855404,0.444,0.272,4.87032149697606e-16,"1","SNRPG"
"80",2.16886592557887e-20,0.496978588022127,0.395,0.222,4.98752408246117e-16,"1","RP3-342P20.2"
"81",5.05272811289359e-20,0.481502999056806,0.389,0.218,1.16192535684101e-15,"1","RP5-1106E3.1"
"82",1.94507353374736e-19,0.419550209651974,0.545,0.356,4.47289109820544e-15,"1","NUCKS1"
"83",8.86027185170376e-19,0.507675273064436,0.275,0.134,2.0375081150178e-14,"1","PA2G4"
"84",1.28736367798442e-18,0.4217288232759,0.432,0.257,2.96042151389298e-14,"1","RPS2P55"
"85",2.46551328236137e-18,0.450484606564436,0.259,0.123,5.66969434411821e-14,"1","UBE2C"
"86",3.03816068976143e-18,0.696194772161611,0.45,0.287,6.98655432217538e-14,"1","BCYRN1"
"87",3.84487615897882e-18,0.469669466235841,0.296,0.151,8.8416772151877e-14,"1","YBX1P2"
"88",3.9135226291028e-18,0.463397586205199,0.378,0.216,8.9995366378848e-14,"1","RP11-324J13.1"
