"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","RNA_snn_res.0.8","seurat_clusters"
"cell_9","cell",4360,2492,0.275229357798165,"4","4"
"cell_10","cell",4289,2390,0.256470039636279,"5","5"
"cell_11","cell",4099,2346,0.268358136130764,"2","2"
"cell_12","cell",4016,2290,0.323705179282869,"7","7"
"cell_13","cell",4006,2468,0.17473789316026,"5","5"
"cell_14","cell",4022,2337,0.174042764793635,"1","1"
"cell_15","cell",3961,2260,0.0252461499621308,"1","1"
"cell_16","cell",3936,2256,0.152439024390244,"4","4"
"cell_17","cell",3920,2192,0.204081632653061,"2","2"
"cell_18","cell",3900,2231,0.153846153846154,"0","0"
"cell_19","cell",3858,2434,0.259201658890617,"5","5"
"cell_20","cell",3868,2164,0.15511892450879,"4","4"
"cell_21","cell",3852,2166,0.0259605399792316,"0","0"
"cell_22","cell",3780,2148,0.846560846560847,"8","8"
"cell_23","cell",3761,2295,0.505184791278915,"7","7"
"cell_24","cell",3755,2158,0.239680426098535,"0","0"
"cell_25","cell",3749,2175,0.346759135769539,"2","2"
"cell_26","cell",3745,2087,0.106809078771696,"0","0"
"cell_27","cell",3726,2113,0.107353730542136,"4","4"
"cell_28","cell",3719,2058,0.0537778972842162,"4","4"
"cell_29","cell",3710,2052,0.188679245283019,"8","8"
"cell_30","cell",3675,2230,0.707482993197279,"0","0"
"cell_31","cell",3659,2039,0.0546597430992074,"1","1"
"cell_32","cell",3653,2152,0.246372844237613,"4","4"
"cell_33","cell",3632,2149,0.247797356828194,"2","2"
"cell_34","cell",3640,2104,0.769230769230769,"8","8"
"cell_35","cell",3619,2350,0.828958275766786,"0","0"
"cell_36","cell",3619,2169,0.0276319425255595,"4","4"
"cell_37","cell",3600,2151,0.166666666666667,"4","4"
"cell_38","cell",3585,2135,0.139470013947001,"4","4"
"cell_40","cell",3534,2030,0.0848896434634974,"4","4"
"cell_41","cell",3541,2141,0.112962439988704,"4","4"
"cell_43","cell",3510,2221,0.256410256410256,"1","1"
"cell_44","cell",3492,2045,0.200458190148912,"2","2"
"cell_45","cell",3479,2166,0.344926703075596,"1","1"
"cell_46","cell",3462,2003,0.317735413056037,"2","2"
"cell_47","cell",3460,1979,0.0867052023121387,"1","1"
"cell_48","cell",3449,1955,0.115975645114526,"0","0"
"cell_49","cell",3439,2046,0.290782204129107,"1","1"
"cell_50","cell",3424,1918,0.175233644859813,"7","7"
"cell_51","cell",3413,1985,0.17579841781424,"2","2"
"cell_52","cell",3416,2134,0.175644028103044,"5","5"
"cell_53","cell",3411,2017,0.175901495162709,"1","1"
"cell_54","cell",3394,2073,0.0883912787271656,"4","4"
"cell_55","cell",3391,2026,0.353877912120318,"4","4"
"cell_56","cell",3387,2065,0.265721877767936,"4","4"
"cell_57","cell",3392,1899,0.0884433962264151,"1","1"
"cell_58","cell",3373,1912,0.0296471983397569,"8","8"
"cell_59","cell",3364,2068,0.237812128418549,"0","0"
"cell_60","cell",3365,1870,0,"4","4"
"cell_61","cell",3340,1904,0.269461077844311,"4","4"
"cell_62","cell",3337,1905,0.38957147138148,"2","2"
"cell_63","cell",3325,2136,0.390977443609023,"2","2"
"cell_64","cell",3310,1919,0.211480362537764,"0","0"
"cell_65","cell",3304,1941,0.242130750605327,"1","1"
"cell_66","cell",3299,1916,0.333434374052743,"0","0"
"cell_67","cell",3270,2244,0.275229357798165,"5","5"
"cell_68","cell",3293,1923,0.819921044640146,"2","2"
"cell_69","cell",3286,2144,0.0608642726719416,"4","4"
"cell_70","cell",3267,1929,0.0612182430364249,"4","4"
"cell_71","cell",3263,1900,0.0306466441924609,"1","1"
"cell_72","cell",3259,1890,0.122737035900583,"4","4"
"cell_73","cell",3239,2022,0.277863538129052,"0","0"
"cell_74","cell",3241,1908,0.277692070348658,"1","1"
"cell_75","cell",3231,1898,0,"4","4"
"cell_76","cell",3221,1995,0.124185035703198,"4","4"
"cell_77","cell",3229,1848,0.154846701765252,"8","8"
"cell_78","cell",3218,1926,0.155376009944065,"1","1"
"cell_79","cell",3191,2031,0.407395800689439,"4","4"
"cell_80","cell",3191,1981,0.125352554058289,"0","0"
"cell_81","cell",3193,1870,0.219229564672722,"0","0"
"cell_82","cell",3175,1834,0.062992125984252,"8","8"
"cell_83","cell",3169,2013,0.189334174818555,"2","2"
"cell_84","cell",3168,1858,2.20959595959596,"0","0"
"cell_85","cell",3167,1924,0.0631512472371329,"4","4"
"cell_86","cell",3165,1828,0.0947867298578199,"4","4"
"cell_87","cell",3160,2040,1.39240506329114,"0","0"
"cell_88","cell",3156,2057,0.41191381495564,"0","0"
"cell_89","cell",3148,2015,0.381194409148666,"1","1"
"cell_90","cell",3143,2004,0.22271714922049,"2","2"
"cell_91","cell",3136,1983,0.860969387755102,"2","2"
"cell_92","cell",3135,1848,0.191387559808612,"0","0"
"cell_93","cell",3135,1884,0.223285486443381,"4","4"
"cell_94","cell",3122,2066,0.320307495195388,"0","0"
"cell_95","cell",3130,1853,0.191693290734824,"4","4"
"cell_96","cell",3105,1830,0.289855072463768,"1","1"
"cell_97","cell",3086,1985,0.0972132209980557,"1","1"
"cell_98","cell",3084,1730,0.259403372243839,"0","0"
"cell_99","cell",3073,1995,0.553205336804426,"0","0"
"cell_100","cell",3083,1952,0.681154719429127,"2","2"
"cell_101","cell",3083,1952,0.0973078170613039,"1","1"
"cell_102","cell",3062,1886,0.391900718484651,"4","4"
"cell_103","cell",3062,1848,0.0979751796211626,"8","8"
"cell_104","cell",3035,1858,0.0329489291598023,"2","2"
"cell_105","cell",3033,1907,0.19782393669634,"5","5"
"cell_106","cell",3023,1797,0.165398610651671,"8","8"
"cell_107","cell",3024,1940,0.462962962962963,"2","2"
"cell_108","cell",3022,1753,0.496360026472535,"2","2"
"cell_109","cell",3021,1800,0.463422707712678,"1","1"
"cell_110","cell",3017,1838,0.0994365263506795,"4","4"
"cell_111","cell",3019,1784,0.0993706525339517,"2","2"
"cell_112","cell",3021,1730,0.033101621979477,"5","5"
"cell_113","cell",3019,1770,0.496853262669758,"1","1"
"cell_114","cell",3001,1846,0.166611129623459,"0","0"
"cell_115","cell",2997,1771,0.1001001001001,"7","7"
"cell_116","cell",2993,1700,0.200467758102239,"7","7"
"cell_117","cell",2989,1871,0.0334560053529609,"4","4"
"cell_118","cell",2987,1717,0.133913625711416,"0","0"
"cell_119","cell",2978,1816,0.167897918065816,"1","1"
"cell_120","cell",2976,1708,0.100806451612903,"5","5"
"cell_121","cell",2968,1943,0.168463611859838,"5","5"
"cell_122","cell",2972,1745,0.168236877523553,"0","0"
"cell_123","cell",2971,1853,0.10097610232245,"0","0"
"cell_124","cell",2969,1751,0.269450993600539,"2","2"
"cell_125","cell",2964,1690,0.101214574898785,"7","7"
"cell_126","cell",2967,1726,0.741489720256151,"0","0"
"cell_127","cell",2953,1929,0.237047070775483,"4","4"
"cell_128","cell",2928,1985,0.239071038251366,"5","5"
"cell_129","cell",2915,1711,0.308747855917667,"0","0"
"cell_130","cell",2909,1763,0.309384668270883,"1","1"
"cell_131","cell",2897,1657,0.138073869520193,"4","4"
"cell_132","cell",2890,1755,0.0346020761245675,"4","4"
"cell_133","cell",2900,1776,0.206896551724138,"4","4"
"cell_134","cell",2893,1787,0.241963359834082,"0","0"
"cell_135","cell",2889,1751,0.103842159916926,"1","1"
"cell_136","cell",2883,1730,1.38744363510232,"1","1"
"cell_137","cell",2872,1742,0.174094707520891,"0","0"
"cell_138","cell",2870,1608,0.104529616724739,"1","1"
"cell_139","cell",2862,1866,0.209643605870021,"1","1"
"cell_140","cell",2861,1681,0.139811254806012,"1","1"
"cell_141","cell",2848,1783,0.245786516853933,"2","2"
"cell_142","cell",2858,1672,0.0699790062981106,"1","1"
"cell_143","cell",2855,1739,0.280210157618214,"5","5"
"cell_144","cell",2855,1709,0.31523642732049,"1","1"
"cell_145","cell",2844,1857,0.246132208157525,"5","5"
"cell_146","cell",2850,1639,0,"0","0"
"cell_147","cell",2834,1623,0.141143260409315,"0","0"
"cell_148","cell",2828,1686,1.02545968882603,"2","2"
"cell_149","cell",2835,1729,0.17636684303351,"2","2"
"cell_150","cell",2815,1780,0.106571936056838,"0","0"
"cell_151","cell",2818,1592,0.106458481192335,"1","1"
"cell_152","cell",2816,1772,0.248579545454545,"1","1"
"cell_153","cell",2807,1843,0.142500890630566,"5","5"
"cell_154","cell",2807,1704,0.142500890630566,"1","1"
"cell_155","cell",2795,1698,0.286225402504472,"4","4"
"cell_156","cell",2786,1546,0.107681263460158,"4","4"
"cell_157","cell",2785,1643,0.466786355475763,"0","0"
"cell_158","cell",2783,1590,0.0359324469996407,"0","0"
"cell_159","cell",2780,1789,0.107913669064748,"1","1"
"cell_160","cell",2776,1715,0.180115273775216,"1","1"
"cell_161","cell",2768,1882,0.108381502890173,"5","5"
"cell_162","cell",2779,1547,0.467794170564951,"4","4"
"cell_163","cell",2768,1842,0.289017341040462,"0","0"
"cell_164","cell",2760,1753,0.144927536231884,"0","0"
"cell_165","cell",2762,1629,0.687907313540912,"3","3"
"cell_166","cell",2764,1629,0.144717800289436,"1","1"
"cell_167","cell",2753,1672,0.217944061024337,"0","0"
"cell_168","cell",2755,1666,0,"1","1"
"cell_169","cell",2751,1622,0.181752090149037,"0","0"
"cell_170","cell",2731,1803,0.256316367630904,"5","5"
"cell_171","cell",2742,1758,1.82348650619985,"4","4"
"cell_172","cell",2738,1722,0.14609203798393,"5","5"
"cell_173","cell",2738,1840,0.109569028487947,"4","4"
"cell_174","cell",2736,1523,0.109649122807018,"3","3"
"cell_175","cell",2731,1719,0,"4","4"
"cell_176","cell",2738,1713,0.58436815193572,"2","2"
"cell_177","cell",2719,1684,1.65502022802501,"1","1"
"cell_178","cell",2707,1634,0.295530107129664,"1","1"
"cell_179","cell",2705,1662,0.147874306839187,"1","1"
"cell_180","cell",2697,1566,0.185391175380052,"0","0"
"cell_181","cell",2692,1788,0.148588410104012,"1","1"
"cell_182","cell",2696,1578,0.148367952522255,"0","0"
"cell_183","cell",2695,1693,0.148423005565863,"2","2"
"cell_184","cell",2692,1621,0.111441307578009,"1","1"
"cell_185","cell",2688,1801,0.0744047619047619,"1","1"
"cell_186","cell",2687,1602,1.11648678823967,"2","2"
"cell_187","cell",2688,1543,0.595238095238095,"2","2"
"cell_188","cell",2685,1640,0.148975791433892,"1","1"
"cell_189","cell",2684,1787,0.22354694485842,"5","5"
"cell_190","cell",2680,1751,0.298507462686567,"0","0"
"cell_191","cell",2678,1733,0.149365197908887,"1","1"
"cell_192","cell",2657,1734,0.225818592397441,"0","0"
"cell_193","cell",2659,1483,0,"0","0"
"cell_194","cell",2653,1703,0.226159065209197,"0","0"
"cell_195","cell",2656,1514,0.225903614457831,"0","0"
"cell_196","cell",2654,1666,0.150715900527506,"1","1"
"cell_197","cell",2654,1635,0.150715900527506,"2","2"
"cell_198","cell",2647,1702,0.11333585190782,"0","0"
"cell_199","cell",2645,1582,0.0756143667296786,"0","0"
"cell_200","cell",2650,1646,0.0377358490566038,"1","1"
"cell_201","cell",2648,1669,0.188821752265861,"4","4"
"cell_202","cell",2644,1718,0.151285930408472,"0","0"
"cell_203","cell",2645,1676,1.09640831758034,"4","4"
"cell_204","cell",2640,1738,0.113636363636364,"4","4"
"cell_205","cell",2643,1589,0.718880060537268,"1","1"
"cell_206","cell",2640,1677,0.151515151515152,"0","0"
"cell_207","cell",2629,1822,0.114111829593001,"5","5"
