"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","RNA_snn_res.0.8","seurat_clusters"
"cell_1","cell",13340,4906,0.472263868065967,"5","5"
"cell_2","cell",12985,4615,2.09472468232576,"3","3"
"cell_3","cell",12977,4624,2.53525468135933,"3","3"
"cell_4","cell",12195,4290,1.01681016810168,"3","3"
"cell_5","cell",11910,4308,0.293870696893367,"3","3"
"cell_6","cell",11898,4237,1.42040679105732,"0","0"
"cell_7","cell",11813,4398,1.07508676881402,"3","3"
"cell_8","cell",11780,4223,1.96943972835314,"3","3"
"cell_9","cell",11669,4119,1.13120233096238,"6","6"
"cell_10","cell",11216,4207,2.7728245363766,"3","3"
"cell_11","cell",11188,4173,1.12620664998212,"3","3"
"cell_12","cell",11176,4133,0.894774516821761,"0","0"
"cell_13","cell",11135,4015,2.91872474180512,"0","0"
"cell_14","cell",10967,4021,0.264429652594146,"3","3"
"cell_15","cell",10956,4106,0.447243519532676,"3","3"
"cell_16","cell",10873,3935,0.588613997976639,"3","3"
"cell_17","cell",10834,3893,0.129222817057412,"3","3"
"cell_18","cell",10809,3835,0.111018595614765,"3","3"
"cell_19","cell",10637,3887,1.78621791858607,"5","5"
"cell_20","cell",10621,4002,0.837962527069014,"3","3"
"cell_21","cell",10606,3944,3.14916085234773,"0","0"
"cell_22","cell",10573,4004,0.435070462498818,"3","3"
"cell_23","cell",10441,4007,3.06484053251604,"3","3"
"cell_24","cell",10348,3958,0.125628140703518,"3","3"
"cell_25","cell",10291,3998,2.99290642308814,"5","5"
"cell_26","cell",10288,3804,0.447122861586314,"4","4"
"cell_27","cell",10287,4006,0.719354525128803,"2","2"
"cell_28","cell",10275,3730,2.03406326034063,"2","2"
"cell_29","cell",10282,3834,0.0583544057576347,"3","3"
"cell_30","cell",10222,3816,1.90765016630796,"0","0"
"cell_31","cell",10210,3896,1.28305582761998,"3","3"
"cell_32","cell",10199,3682,0.235317187959604,"4","4"
"cell_33","cell",10145,3708,1.00542138984722,"3","3"
"cell_34","cell",10061,3981,0.238544876254845,"3","3"
"cell_35","cell",10042,3554,0.119498107946624,"3","3"
"cell_36","cell",10024,3832,0.828012769353552,"5","5"
"cell_37","cell",10012,3624,0.119856172592889,"6","6"
"cell_38","cell",9946,3845,2.30243313895033,"0","0"
"cell_39","cell",9931,3687,0.52361292921156,"4","4"
"cell_40","cell",9872,3793,0.455834683954619,"3","3"
"cell_41","cell",9830,3496,0.366225839267548,"5","5"
"cell_42","cell",9820,3841,0.346232179226069,"3","3"
"cell_43","cell",9794,3924,0.255258321421278,"1","1"
"cell_44","cell",9790,3546,1.94075587334014,"0","0"
"cell_45","cell",9774,3542,2.04624514016779,"0","0"
"cell_46","cell",9715,3710,2.61451363870304,"0","0"
"cell_47","cell",9691,3852,0.877102466205758,"5","5"
"cell_48","cell",9620,3454,2.84823284823285,"0","0"
"cell_49","cell",9572,3536,0.0208942749686586,"4","4"
"cell_50","cell",9491,3906,0.031608892635128,"3","3"
"cell_51","cell",9463,3407,0.253619359611117,"3","3"
"cell_52","cell",9435,3495,1.64281928987811,"0","0"
"cell_53","cell",9372,3491,0.0960307298335467,"3","3"
"cell_54","cell",9359,3729,0.288492360294903,"4","4"
"cell_55","cell",9345,3523,0.256821829855538,"3","3"
"cell_56","cell",9284,3836,0.732442912537699,"3","3"
"cell_57","cell",9269,3806,1.9311684108318,"3","3"
"cell_58","cell",9259,3517,0.0972027216762069,"6","6"
"cell_59","cell",9270,3594,1.79072276159655,"5","5"
"cell_60","cell",9268,3634,2.58955545964609,"0","0"
"cell_61","cell",9234,3449,0.0433181719731427,"6","6"
"cell_62","cell",9209,3443,1.40080356173309,"0","0"
"cell_63","cell",9206,3609,1.91179665435585,"0","0"
"cell_64","cell",9194,3737,1.9904285403524,"3","3"
"cell_65","cell",9161,3405,1.1461630826329,"0","0"
"cell_66","cell",9136,3281,0.612959719789842,"11","11"
"cell_68","cell",9091,3282,1.0229897701023,"10","10"
"cell_69","cell",9071,3619,3.73718443391026,"5","5"
"cell_70","cell",9064,3777,2.96778464254192,"3","3"
"cell_71","cell",9053,3391,3.3027725615818,"0","0"
"cell_72","cell",9012,3839,2.57434531735464,"0","0"
"cell_73","cell",8992,3365,0.155693950177936,"6","6"
"cell_74","cell",8995,3622,0.833796553640912,"3","3"
"cell_75","cell",8986,3542,1.61362118851547,"3","3"
"cell_76","cell",8973,3487,0.869274490137078,"0","0"
"cell_77","cell",8946,3516,0.1900290632685,"5","5"
"cell_78","cell",8940,3359,0.23489932885906,"3","3"
"cell_79","cell",8921,3739,3.69913686806412,"0","0"
"cell_80","cell",8883,3625,0.135089496791624,"3","3"
"cell_81","cell",8832,3162,3.13632246376812,"0","0"
"cell_82","cell",8827,3246,0.135946527699105,"5","5"
"cell_83","cell",8823,3415,0.453360534965431,"3","3"
"cell_84","cell",8769,3599,0.490363781503022,"6","6"
"cell_85","cell",8758,3307,0.902032427494862,"11","11"
"cell_86","cell",8753,3237,0.879698389123729,"0","0"
"cell_87","cell",8745,3409,3.14465408805031,"0","0"
"cell_88","cell",8712,3398,3.12213039485767,"3","3"
"cell_89","cell",8699,3362,0.827681342683067,"4","4"
"cell_90","cell",8679,3331,0.0576103237700196,"6","6"
"cell_91","cell",8668,3364,0.54222427318874,"8","8"
"cell_92","cell",8660,3162,0.115473441108545,"4","4"
"cell_93","cell",8609,3283,0.453014287373679,"8","8"
"cell_94","cell",8612,3220,0.731537389688806,"4","4"
"cell_95","cell",8596,3472,0.488599348534202,"3","3"
"cell_96","cell",8581,3436,0.524414403915628,"3","3"
"cell_97","cell",8544,3606,1.20552434456929,"3","3"
"cell_98","cell",8526,3469,1.64203612479475,"2","2"
"cell_99","cell",8504,3297,0.388052681091251,"3","3"
"cell_101","cell",8440,3307,1.2085308056872,"0","0"
"cell_103","cell",8420,3105,0.0475059382422803,"3","3"
"cell_104","cell",8418,3098,1.94820622475647,"0","0"
"cell_105","cell",8408,3447,0.225975261655566,"3","3"
"cell_106","cell",8376,3377,0.274594078319007,"3","3"
"cell_107","cell",8356,3389,0.0239348970799426,"6","6"
"cell_108","cell",8363,3414,1.13595599665192,"0","0"
"cell_109","cell",8362,3214,0.346806983975126,"5","5"
"cell_110","cell",8353,3533,0.0957739734227224,"4","4"
"cell_111","cell",8340,3390,3.02158273381295,"5","5"
"cell_112","cell",8334,3325,2.02783777297816,"3","3"
"cell_113","cell",8328,3450,0.564361191162344,"5","5"
"cell_114","cell",8312,3452,4.18671799807507,"3","3"
"cell_115","cell",8305,3377,3.74473208910295,"3","3"
"cell_116","cell",8292,3492,0.494452484322238,"4","4"
"cell_117","cell",8280,3404,0.0483091787439614,"6","6"
"cell_118","cell",8285,2970,0.265540132770066,"10","10"
"cell_119","cell",8279,3345,0.144945041671699,"3","3"
"cell_120","cell",8259,3375,1.24712434919482,"4","4"
"cell_121","cell",8251,3285,0.0484789722457884,"1","1"
"cell_122","cell",8247,3353,0.970049715047896,"6","6"
"cell_123","cell",8228,3108,3.9742343218279,"0","0"
"cell_124","cell",8209,3324,0.96235838713607,"0","0"
"cell_125","cell",8192,3090,0.1953125,"4","4"
"cell_126","cell",8186,3614,3.00513071096995,"0","0"
"cell_127","cell",8189,3420,0.244230064720967,"4","4"
"cell_128","cell",8152,3467,0.306673209028459,"3","3"
"cell_129","cell",8152,3082,0.331207065750736,"1","1"
"cell_130","cell",8141,3156,2.07591205011669,"6","6"
"cell_131","cell",8138,2894,0.0368640943720816,"3","3"
"cell_132","cell",8099,3255,0.654401777997284,"4","4"
"cell_133","cell",8087,2974,0.766662544825028,"10","10"
"cell_134","cell",8059,3146,0.136493361459238,"4","4"
"cell_135","cell",8059,3175,2.17148529594242,"0","0"
"cell_136","cell",8058,3363,1.41474311243485,"3","3"
"cell_137","cell",8038,3179,1.11968151281413,"6","6"
"cell_138","cell",8035,3356,0.659614187927816,"3","3"
"cell_139","cell",8025,3144,0.0249221183800623,"8","8"
"cell_140","cell",8011,3191,3.60753963300462,"0","0"
"cell_141","cell",8014,3372,1.41003244322436,"3","3"
"cell_142","cell",8008,3265,1.34865134865135,"0","0"
"cell_143","cell",8004,3127,1.02448775612194,"0","0"
"cell_144","cell",8004,3231,0.112443778110945,"3","3"
"cell_145","cell",7975,3063,0.351097178683386,"1","1"
"cell_146","cell",7962,2894,0.552624968600854,"3","3"
"cell_147","cell",7961,3229,0.439643260896872,"1","1"
"cell_148","cell",7951,3135,1.49666708590114,"3","3"
"cell_149","cell",7953,3477,2.1501320256507,"5","5"
"cell_150","cell",7952,3009,0.150905432595573,"4","4"
"cell_151","cell",7930,3006,1.12232030264817,"0","0"
"cell_152","cell",7919,3062,4.19244854148251,"0","0"
"cell_153","cell",7902,3056,3.3788914198937,"0","0"
"cell_154","cell",7898,2975,0.126614332742466,"4","4"
"cell_155","cell",7892,3328,2.36948808920426,"0","0"
"cell_156","cell",7890,3286,0.202788339670469,"3","3"
"cell_157","cell",7883,3197,4.71901560319675,"0","0"
"cell_158","cell",7879,3230,0.279223251681685,"3","3"
"cell_159","cell",7870,3355,0.304955527318933,"11","11"
"cell_160","cell",7864,3138,3.71312309257375,"0","0"
"cell_161","cell",7870,3184,0.330368487928844,"4","4"
"cell_162","cell",7860,2999,2.54452926208651,"5","5"
"cell_163","cell",7857,3224,0.470917653048237,"3","3"
"cell_164","cell",7858,3233,2.45609569865106,"5","5"
"cell_165","cell",7861,3119,0.178094390026714,"4","4"
"cell_166","cell",7851,2861,0.0891606164819768,"3","3"
"cell_167","cell",7841,3248,0.867236321897717,"0","0"
"cell_168","cell",7842,3301,1.09665901555726,"3","3"
"cell_169","cell",7799,3150,3.30811642518272,"0","0"
"cell_170","cell",7770,3349,1.36422136422136,"3","3"
"cell_171","cell",7787,2806,2.95364068318993,"3","3"
"cell_172","cell",7750,3110,0.890322580645161,"6","6"
"cell_173","cell",7735,3207,0.917905623787977,"5","5"
"cell_174","cell",7738,2878,0.12923235978289,"5","5"
"cell_175","cell",7728,2902,0.685817805383023,"0","0"
"cell_176","cell",7721,2825,0.142468592151276,"4","4"
"cell_177","cell",7695,3120,0.519818063677713,"1","1"
"cell_178","cell",7689,2904,0.117050331642606,"3","3"
"cell_179","cell",7672,3375,0.534410844629823,"0","0"
"cell_180","cell",7664,3157,1.5527139874739,"3","3"
"cell_181","cell",7657,2777,0.0261198902964608,"3","3"
"cell_182","cell",7638,3033,0.955747577899974,"3","3"
"cell_183","cell",7636,3217,2.99895233106338,"3","3"
"cell_185","cell",7615,2908,0.0919238345370978,"3","3"
"cell_186","cell",7607,3047,1.01222558170106,"7","7"
"cell_187","cell",7605,2996,0.959894806048652,"3","3"
"cell_188","cell",7603,3325,0.289359463369722,"3","3"
"cell_189","cell",7600,3080,3.72368421052632,"0","0"
"cell_190","cell",7595,3007,0.157998683344305,"1","1"
"cell_191","cell",7575,2721,0.132013201320132,"10","10"
"cell_192","cell",7550,3286,3.77483443708609,"0","0"
"cell_193","cell",7508,3266,1.06553010122536,"0","0"
"cell_194","cell",7493,2889,0.146803683437875,"3","3"
"cell_195","cell",7495,2930,3.45563709139426,"0","0"
"cell_196","cell",7483,2694,0.587999465455031,"1","1"
"cell_197","cell",7479,2700,0.588313945714668,"7","7"
"cell_198","cell",7470,3295,1.71352074966533,"3","3"
"cell_199","cell",7468,2979,0.0803427959292983,"1","1"
"cell_200","cell",7423,2734,2.84251650276169,"0","0"
"cell_201","cell",7401,2968,0.0540467504391298,"6","6"
"cell_202","cell",7392,3175,0.771103896103896,"3","3"
"cell_203","cell",7394,3030,1.14958074114147,"3","3"
"cell_204","cell",7358,3042,2.59581407991302,"0","0"
"cell_205","cell",7349,3170,1.64648251462784,"3","3"
"cell_206","cell",7356,3053,0.435019032082654,"3","3"
"cell_207","cell",7343,3177,2.17894593490399,"3","3"
"cell_208","cell",7330,3260,2.18281036834925,"0","0"
"cell_209","cell",7335,2705,0.0136332651670075,"10","10"
"cell_210","cell",7324,3014,3.61824139814309,"10","10"
"cell_211","cell",7326,2777,1.92465192465192,"0","0"
"cell_212","cell",7308,3096,2.38095238095238,"0","0"
"cell_213","cell",7309,2868,0.848269257080312,"0","0"
"cell_214","cell",7302,2999,1.50643659271432,"5","5"
"cell_215","cell",7306,3160,1.02655351765672,"3","3"
"cell_216","cell",7307,2633,3.69508690296975,"0","0"
"cell_217","cell",7288,2841,0.343029637760703,"2","2"
"cell_218","cell",7267,2953,2.40814641530205,"5","5"
"cell_219","cell",7270,3056,0.0550206327372765,"10","10"
"cell_220","cell",7264,3161,0.633259911894273,"0","0"
"cell_221","cell",7263,2948,0.784799669558034,"4","4"
"cell_222","cell",7261,2935,0.0550888307395676,"5","5"
"cell_223","cell",7260,3083,0.220385674931129,"5","5"
"cell_224","cell",7259,3250,0.289296046287367,"5","5"
"cell_225","cell",7257,2631,0.165357585779248,"3","3"
"cell_226","cell",7246,2892,1.32486889318245,"0","0"
"cell_227","cell",7242,2864,2.96879315106324,"0","0"
"cell_228","cell",7223,2909,4.8733213346255,"0","0"
"cell_229","cell",7218,3178,0.027708506511499,"3","3"
"cell_230","cell",7216,2943,0.180155210643016,"10","10"
"cell_231","cell",7206,2691,0.222037191229531,"5","5"
"cell_232","cell",7202,2865,0.36101083032491,"3","3"
"cell_233","cell",7196,3049,0.111172873818788,"3","3"
"cell_234","cell",7188,2873,3.15804117974402,"0","0"
"cell_235","cell",7189,2731,0.0417304214772569,"5","5"
"cell_236","cell",7185,2809,3.74391092553932,"0","0"
"cell_237","cell",7147,3021,1.21729396949769,"3","3"
"cell_238","cell",7145,3219,1.37158852344297,"5","5"
"cell_239","cell",7137,2889,1.13493064312736,"5","5"
"cell_240","cell",7127,2984,0.322716430475656,"3","3"
"cell_241","cell",7126,2835,0.65955655346618,"6","6"
"cell_242","cell",7124,3129,1.71252105558675,"3","3"
"cell_243","cell",7118,2975,0.927226749086822,"4","4"
"cell_244","cell",7115,3031,4.46943078004216,"0","0"
"cell_245","cell",7105,2872,0.126671358198452,"6","6"
"cell_246","cell",7103,3058,0.168942700267493,"3","3"
"cell_247","cell",7088,2650,0.0846501128668172,"1","1"
"cell_248","cell",7090,2520,0.324400564174894,"1","1"
"cell_249","cell",7077,2787,2.28910555320051,"0","0"
"cell_250","cell",7026,2893,1.35212069456305,"0","0"
"cell_251","cell",7018,3047,0.726702764320319,"4","4"
"cell_252","cell",7006,2673,0.0570939194975735,"3","3"
"cell_253","cell",7001,2522,0.0142836737608913,"3","3"
"cell_254","cell",6999,2984,1.24303471924561,"5","5"
"cell_255","cell",6999,2809,0.628661237319617,"4","4"
"cell_256","cell",6985,3044,2.87759484609878,"0","0"
"cell_257","cell",6975,2788,2.35125448028674,"7","7"
"cell_258","cell",6968,2726,0.0143513203214696,"3","3"
"cell_259","cell",6959,2920,0.431096421899698,"11","11"
"cell_260","cell",6962,3017,0.244182706118931,"1","1"
"cell_261","cell",6961,3102,0.804482114638701,"5","5"
"cell_262","cell",6959,2571,1.02026153182929,"10","10"
"cell_263","cell",6955,3164,0.431344356578001,"4","4"
"cell_264","cell",6958,2915,0.244323081345214,"1","1"
"cell_265","cell",6934,2657,0.89414479376983,"0","0"
"cell_266","cell",6930,2698,0.187590187590188,"5","5"
"cell_267","cell",6926,2988,1.73260179035518,"0","0"
"cell_268","cell",6919,3071,0.303512068217951,"3","3"
"cell_269","cell",6917,2847,0.0289142691918462,"3","3"
"cell_270","cell",6909,2629,0.0578954986249819,"3","3"
"cell_271","cell",6907,2896,2.02692920225858,"2","2"
"cell_272","cell",6891,2913,0.087070091423596,"8","8"
"cell_273","cell",6890,2820,0.435413642960813,"3","3"
"cell_274","cell",6884,2850,0,"1","1"
"cell_275","cell",6880,3011,0.712209302325581,"2","2"
"cell_276","cell",6858,2813,0.174978127734033,"4","4"
"cell_277","cell",6855,2714,0.131291028446389,"3","3"
"cell_278","cell",6855,2815,3.41356673960613,"0","0"
"cell_280","cell",6833,2790,1.17078881896678,"0","0"
"cell_281","cell",6820,2613,0.0733137829912024,"3","3"
"cell_282","cell",6813,2905,0.381623367092323,"2","2"
"cell_283","cell",6798,2943,1.16210650191233,"5","5"
"cell_284","cell",6795,2897,1.66298749080206,"3","3"
"cell_285","cell",6787,2813,1.37026668631207,"0","0"
"cell_286","cell",6787,2700,3.10888463238544,"0","0"
"cell_287","cell",6779,3000,2.41923587549786,"5","5"
"cell_288","cell",6768,3151,0.650118203309693,"3","3"
"cell_289","cell",6763,2751,0.0591453496968801,"3","3"
"cell_290","cell",6762,2606,0.0591540964211772,"1","1"
"cell_291","cell",6751,2787,1.06650866538291,"0","0"
"cell_292","cell",6741,2899,2.1658507639816,"0","0"
"cell_293","cell",6737,2685,0.148434021077631,"1","1"
"cell_294","cell",6729,2744,0.0594441967602913,"6","6"
"cell_295","cell",6720,2884,0.505952380952381,"5","5"
"cell_296","cell",6707,2686,2.69867302817951,"0","0"
"cell_297","cell",6689,2781,0.13454925997907,"3","3"
"cell_298","cell",6682,2736,1.1972463334331,"0","0"
"cell_299","cell",6681,2911,0.389163298907349,"1","1"
"cell_300","cell",6683,2975,0.224450097261709,"3","3"
"cell_301","cell",6678,2733,0.239592692422881,"5","5"
"cell_302","cell",6666,2787,1.98019801980198,"0","0"
"cell_303","cell",6665,3099,1.3503375843961,"0","0"
"cell_304","cell",6656,2700,4.85276442307692,"0","0"
"cell_305","cell",6650,2696,1.20300751879699,"5","5"
"cell_306","cell",6644,2846,0.316074653822998,"3","3"
"cell_307","cell",6637,2686,0.0301340967304505,"4","4"
"cell_308","cell",6627,2574,0.0301795684321714,"5","5"
"cell_309","cell",6605,2820,0.711582134746404,"3","3"
"cell_310","cell",6604,2647,0.0605693519079346,"1","1"
"cell_311","cell",6602,2499,0.106028476219327,"3","3"
"cell_312","cell",6597,2671,0.045475216007276,"3","3"
"cell_313","cell",6589,2797,0.622249203217484,"2","2"
"cell_314","cell",6554,2954,0.22886786695148,"6","6"
"cell_315","cell",6551,2860,1.03800946420394,"0","0"
"cell_316","cell",6552,2838,0.396825396825397,"1","1"
"cell_317","cell",6546,2905,0.412465627864345,"1","1"
"cell_318","cell",6542,2541,0.0764292265362275,"5","5"
"cell_319","cell",6519,2824,1.45727872373063,"3","3"
"cell_320","cell",6517,2975,1.79530458800061,"0","0"
"cell_321","cell",6512,2499,0.644963144963145,"4","4"
"cell_322","cell",6507,2884,3.39634240049178,"0","0"
"cell_324","cell",6493,2878,1.40150931772678,"3","3"
"cell_325","cell",6494,2748,2.07884200800739,"0","0"
