"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","RNA_snn_res.0.8","seurat_clusters"
"cell_48","cell",8920,3737,0.15695067264574,"10","10"
"cell_49","cell",8927,3641,0.683320264366528,"2","2"
"cell_50","cell",8902,3986,0.415636935520108,"0","0"
"cell_51","cell",8871,3770,0.191635666779394,"4","4"
"cell_52","cell",8867,3673,0.0563888575617458,"0","0"
"cell_53","cell",8834,3834,0.350916911931175,"1","1"
"cell_54","cell",8779,3473,2.49458936097505,"7","7"
"cell_55","cell",8771,3918,0.102610876752936,"2","2"
"cell_56","cell",8757,3956,0.365421948155761,"1","1"
"cell_57","cell",8756,3627,0.376884422110553,"2","2"
"cell_58","cell",8749,3693,0.182878043204938,"6","6"
"cell_59","cell",8729,3793,0.286401649673502,"4","4"
"cell_60","cell",8707,3843,0.183760192948203,"5","5"
"cell_61","cell",8710,3828,0.149253731343284,"6","6"
"cell_62","cell",8690,3429,0.218642117376295,"10","10"
"cell_63","cell",8701,3769,0.425238478335823,"3","3"
"cell_64","cell",8624,3388,0.150742115027829,"4","4"
"cell_65","cell",8628,3429,0.45201668984701,"1","1"
"cell_66","cell",8610,3805,0.267131242740999,"2","2"
"cell_67","cell",8503,3580,0.482182759026226,"2","2"
"cell_68","cell",8372,3245,0.0358337314859054,"4","4"
"cell_69","cell",8357,3228,0.227354313748953,"10","10"
"cell_70","cell",8360,3473,0.227272727272727,"4","4"
"cell_71","cell",8345,4119,0.131815458358298,"1","1"
"cell_72","cell",8330,3401,0.444177671068427,"2","2"
"cell_73","cell",8295,3593,0.180831826401447,"5","5"
"cell_74","cell",8303,3904,0.409490545585933,"3","3"
"cell_75","cell",8268,3233,0.0604741170778907,"10","10"
"cell_76","cell",8201,3612,0.731618095354225,"1","1"
"cell_77","cell",8173,3646,1.0033035605041,"1","1"
"cell_78","cell",8114,3241,0.529948237614,"10","10"
"cell_79","cell",8109,3651,0.505611049451227,"6","6"
"cell_80","cell",8077,3630,0.557137551070942,"2","2"
"cell_81","cell",8064,3630,0.148809523809524,"2","2"
"cell_82","cell",8064,3182,0.111607142857143,"1","1"
"cell_83","cell",8034,3638,0.659696290764252,"1","1"
"cell_84","cell",8036,3335,1.543056246889,"4","4"
"cell_85","cell",7985,3586,0.313087038196619,"5","5"
"cell_86","cell",7969,3753,0.803112059229514,"5","5"
"cell_87","cell",7933,3535,0.415983864868272,"4","4"
"cell_88","cell",7934,3360,4.27275018905974,"7","7"
"cell_89","cell",7888,3513,0.164807302231237,"3","3"
"cell_90","cell",7840,3596,0.178571428571429,"0","0"
"cell_91","cell",7842,3333,0.140270339199184,"9","9"
"cell_92","cell",7847,3516,0.637186185803492,"4","4"
"cell_93","cell",7830,3458,0.549169859514687,"2","2"
"cell_94","cell",7828,3329,0.396014307613694,"2","2"
"cell_95","cell",7807,3385,0.435506596644037,"1","1"
"cell_96","cell",7781,3574,0.411258193034314,"7","7"
"cell_97","cell",7770,3175,0.334620334620335,"2","2"
"cell_98","cell",7763,3225,0.373566920005153,"2","2"
"cell_99","cell",7762,3613,0.515331100231899,"6","6"
"cell_100","cell",7729,3941,0.258765687669815,"5","5"
"cell_101","cell",7712,3376,0.440871369294606,"1","1"
"cell_102","cell",7706,3481,0.207630417856216,"4","4"
"cell_103","cell",7695,3219,0.558804418453541,"3","3"
"cell_104","cell",7641,3512,0.0654364611961785,"0","0"
"cell_105","cell",7604,3201,0.0920568122041031,"0","0"
"cell_106","cell",7607,3574,0.368082029709478,"1","1"
"cell_107","cell",7560,3413,0.0793650793650794,"4","4"
"cell_108","cell",7529,3561,0.0796918581484925,"2","2"
"cell_109","cell",7490,3557,0.400534045393859,"6","6"
"cell_110","cell",7446,3735,0.523771152296535,"1","1"
"cell_111","cell",7445,3343,0.376091336467428,"2","2"
"cell_112","cell",7441,3621,0.430049724499395,"0","0"
"cell_113","cell",7413,3325,0.21583704303251,"7","7"
"cell_114","cell",7417,3471,0.188755561547796,"6","6"
"cell_115","cell",7362,3347,0.2173322466721,"0","0"
"cell_116","cell",7284,3230,0.42559033498078,"1","1"
"cell_117","cell",7261,3459,0.192810907588486,"1","1"
"cell_118","cell",7267,3273,1.12838860602725,"2","2"
"cell_119","cell",7232,3263,0.456305309734513,"4","4"
"cell_120","cell",7221,3261,0.249272953884504,"0","0"
"cell_121","cell",7198,3277,0.36121144762434,"2","2"
"cell_122","cell",7199,3584,0.111126545353521,"1","1"
"cell_123","cell",7199,3212,0.388942908737325,"6","6"
"cell_124","cell",7163,3506,0.293173251430965,"1","1"
"cell_125","cell",7132,3411,0.0981491867638811,"1","1"
"cell_126","cell",7114,3517,0.351419735732359,"1","1"
"cell_127","cell",7083,3318,0.352957786248765,"2","2"
"cell_128","cell",7072,3229,0.0707013574660633,"4","4"
"cell_129","cell",6999,3175,0,"0","0"
"cell_130","cell",6981,3137,0.787852743160006,"3","3"
"cell_131","cell",6976,3087,0.157683486238532,"1","1"
"cell_132","cell",6977,3085,0.315321771535044,"2","2"
"cell_133","cell",6949,2741,0.345373435026623,"4","4"
"cell_134","cell",6914,2974,0.115707260630605,"4","4"
"cell_135","cell",6886,3091,0.159744408945687,"3","3"
"cell_136","cell",6865,3249,0.393299344501092,"1","1"
"cell_137","cell",6868,2804,1.00465928945836,"2","2"
"cell_138","cell",6848,3139,0.350467289719626,"2","2"
"cell_139","cell",6836,3451,0.336454066705676,"1","1"
"cell_140","cell",6817,3323,0.220038139944257,"6","6"
"cell_141","cell",6813,3378,0.0880669308674593,"6","6"
"cell_142","cell",6762,3177,0.754214729370009,"0","0"
"cell_143","cell",6761,3184,0.192279248631859,"0","0"
"cell_144","cell",6733,3333,0.341601069359869,"1","1"
"cell_145","cell",6714,3128,0.357462019660411,"1","1"
"cell_146","cell",6705,3211,0.0447427293064877,"0","0"
"cell_147","cell",6689,3173,0.373747944386306,"1","1"
"cell_148","cell",6687,2893,0.388814116943323,"6","6"
"cell_149","cell",6676,2945,0.134811264230078,"6","6"
"cell_150","cell",6670,3229,1.06446776611694,"1","1"
"cell_151","cell",6661,2642,0.360306260321273,"1","1"
"cell_152","cell",6646,2823,0.331026181161601,"6","6"
"cell_153","cell",6631,3125,0.180968179761725,"1","1"
"cell_154","cell",6611,2972,0.257147178944184,"3","3"
"cell_155","cell",6585,3518,0.0455580865603645,"0","0"
"cell_156","cell",6592,2961,0.743325242718447,"2","2"
"cell_157","cell",6586,2816,0.394776799271181,"4","4"
"cell_158","cell",6581,2888,1.18523020817505,"2","2"
"cell_159","cell",6574,3029,0.38028597505324,"2","2"
"cell_160","cell",6556,3228,0.167785234899329,"0","0"
"cell_161","cell",6543,3145,0.519639309185389,"0","0"
"cell_162","cell",6521,3231,0.153350713080816,"2","2"
"cell_163","cell",6533,3128,0.352058778509108,"1","1"
"cell_164","cell",6518,3204,0.0460263884627186,"1","1"
"cell_165","cell",6514,3178,0.475898065704636,"6","6"
"cell_166","cell",6511,2750,0.41468284441714,"2","2"
"cell_167","cell",6455,3143,0.139426800929512,"1","1"
"cell_168","cell",6427,3129,0.466780768632332,"5","5"
"cell_169","cell",6368,2994,0.596733668341708,"3","3"
"cell_170","cell",6363,2975,0.738645293100739,"2","2"
"cell_171","cell",6325,3257,0.379446640316206,"0","0"
"cell_172","cell",6321,3100,0.363866476823287,"1","1"
"cell_173","cell",6316,3005,0.459151361621279,"1","1"
"cell_174","cell",6303,3335,0.2855782960495,"1","1"
"cell_175","cell",6316,2819,0.300823305889804,"1","1"
"cell_176","cell",6293,2900,0.429048148736692,"10","10"
"cell_177","cell",6301,2923,0.111093477225837,"10","10"
"cell_178","cell",6305,2962,0.206185567010309,"1","1"
"cell_179","cell",6285,2907,0.175019888623707,"10","10"
"cell_180","cell",6288,2850,0.318066157760814,"2","2"
"cell_181","cell",6271,3084,0.159464200287036,"4","4"
"cell_182","cell",6260,2671,0.463258785942492,"3","3"
"cell_183","cell",6215,2730,0.289621882542237,"2","2"
"cell_184","cell",6216,3251,1.3030888030888,"0","0"
"cell_185","cell",6206,2925,0.257815017724782,"4","4"
"cell_186","cell",6209,3030,0.209373490095023,"1","1"
"cell_187","cell",6194,3215,0.226025185663545,"6","6"
"cell_188","cell",6184,2864,0.0485122897800776,"4","4"
"cell_189","cell",6179,2955,0.275125424826024,"6","6"
"cell_190","cell",6174,3157,0.0647878198898607,"1","1"
"cell_191","cell",6173,2633,0.599384416005184,"2","2"
"cell_192","cell",6151,2649,0.357665420256869,"10","10"
"cell_193","cell",6138,3098,0.228087324861518,"1","1"
"cell_194","cell",6121,2947,0.114360398627675,"5","5"
"cell_195","cell",6125,2945,0.212244897959184,"4","4"
"cell_196","cell",6094,2662,0.082047915982934,"4","4"
"cell_197","cell",6089,3217,0.0164230579733946,"5","5"
"cell_198","cell",6086,2968,0.657246138678935,"7","7"
"cell_199","cell",6067,3131,0.379100049447833,"2","2"
"cell_200","cell",6063,2902,0.313376216394524,"4","4"
"cell_201","cell",6047,3074,0.21498263601786,"0","0"
"cell_202","cell",6050,2838,0.264462809917355,"1","1"
"cell_203","cell",6037,3106,0.165645188007288,"1","1"
"cell_204","cell",6039,2658,0.877628746481206,"1","1"
"cell_205","cell",6021,2790,0.97990367048663,"4","4"
"cell_206","cell",6024,2455,0.398406374501992,"7","7"
"cell_207","cell",6018,2999,0.265869059488202,"1","1"
"cell_208","cell",5989,3140,0.20036734012356,"1","1"
"cell_209","cell",5978,2756,0.184008029441285,"3","3"
"cell_210","cell",5985,2900,0.200501253132832,"4","4"
"cell_211","cell",5957,3166,0.201443679704549,"0","0"
"cell_212","cell",5960,2859,1.05704697986577,"2","2"
"cell_213","cell",5949,2790,0.353000504286435,"1","1"
"cell_214","cell",5946,2654,0.134544231416078,"4","4"
"cell_215","cell",5940,2890,0.31986531986532,"2","2"
"cell_216","cell",5943,2761,0.370183409052667,"1","1"
"cell_217","cell",5908,2915,0.287745429925525,"0","0"
"cell_218","cell",5864,2770,0.255798090040928,"5","5"
"cell_219","cell",5829,2939,0.12008920912678,"4","4"
"cell_220","cell",5812,2897,0.206469373709566,"7","7"
"cell_221","cell",5804,3027,0.740868366643694,"1","1"
"cell_222","cell",5808,2714,0.447658402203857,"7","7"
"cell_223","cell",5786,2665,0.190114068441065,"5","5"
"cell_224","cell",5785,2907,0.224719101123596,"1","1"
"cell_225","cell",5784,2388,0.311203319502075,"4","4"
"cell_226","cell",5769,2787,0.329346507193621,"1","1"
"cell_227","cell",5765,2858,0.0867302688638335,"5","5"
"cell_228","cell",5753,2617,0.330262471753868,"7","7"
"cell_229","cell",5748,2758,0.12178148921364,"8","8"
"cell_230","cell",5738,2939,0.540257929592192,"2","2"
"cell_231","cell",5749,2924,1.16542007305618,"6","6"
"cell_232","cell",5747,3103,0.121802679658952,"2","2"
"cell_233","cell",5740,2850,0.313588850174216,"7","7"
"cell_234","cell",5735,2635,0.592850915431561,"3","3"
"cell_235","cell",5704,3051,0.82398316970547,"0","0"
"cell_236","cell",5708,2814,0.245269796776454,"2","2"
"cell_237","cell",5653,3173,0.159207500442243,"5","5"
"cell_238","cell",5670,2958,0.105820105820106,"1","1"
"cell_239","cell",5664,2730,0.494350282485876,"6","6"
"cell_240","cell",5646,2703,0.26567481402763,"10","10"
"cell_241","cell",5628,2836,0.159914712153518,"2","2"
"cell_242","cell",5620,2374,0.355871886120996,"6","6"
"cell_243","cell",5614,2764,0.21375133594585,"4","4"
"cell_244","cell",5620,2559,0.551601423487544,"3","3"
"cell_245","cell",5610,2918,0.106951871657754,"2","2"
"cell_246","cell",5600,2854,0.214285714285714,"7","7"
"cell_247","cell",5597,2816,0.250134000357334,"5","5"
"cell_248","cell",5595,2566,0.500446827524575,"1","1"
"cell_249","cell",5596,2689,0.857755539671194,"2","2"
"cell_250","cell",5579,2685,0.69905000896218,"7","7"
"cell_251","cell",5557,2838,0.0179953212164837,"4","4"
"cell_252","cell",5561,2634,0.0539471318108254,"4","4"
"cell_253","cell",5546,2546,0.0901550667147494,"10","10"
"cell_254","cell",5514,2597,0.181356546971346,"6","6"
"cell_255","cell",5494,2904,0.218420094648708,"0","0"
"cell_256","cell",5504,2919,0.490552325581395,"7","7"
"cell_257","cell",5492,3010,0.145666423889294,"5","5"
"cell_258","cell",5474,2658,0.566313481914505,"8","8"
"cell_259","cell",5485,2387,0.0364630811303555,"4","4"
"cell_260","cell",5464,2749,0.603953147877013,"10","10"
"cell_261","cell",5462,2865,0.329549615525449,"4","4"
"cell_262","cell",5467,2505,0.0731662703493689,"4","4"
"cell_263","cell",5463,2229,0.109829763866008,"10","10"
"cell_264","cell",5463,2821,0.146439685154677,"6","6"
"cell_265","cell",5463,2417,1.88541094636647,"2","2"
"cell_266","cell",5464,2727,0.366032210834553,"7","7"
"cell_267","cell",5460,2637,1.0989010989011,"1","1"
"cell_268","cell",5442,2649,0.882028665931643,"7","7"
"cell_269","cell",5456,2848,0.183284457478006,"5","5"
"cell_270","cell",5448,2846,0.0734214390602056,"0","0"
"cell_271","cell",5426,2872,0.0921489126428308,"0","0"
"cell_272","cell",5427,2664,0.810761009765985,"2","2"
"cell_273","cell",5421,2594,0.645637336284818,"1","1"
"cell_274","cell",5412,2706,0.129342202512934,"4","4"
"cell_275","cell",5408,2711,0.480769230769231,"7","7"
"cell_276","cell",5406,2688,0.0369959304476508,"0","0"
"cell_277","cell",5396,3074,0.277983691623425,"0","0"
"cell_278","cell",5378,2727,0.241725548531052,"4","4"
"cell_279","cell",5380,2685,0.241635687732342,"6","6"
"cell_280","cell",5366,3205,0.16772269847186,"5","5"
"cell_281","cell",5371,2621,0.0930925339787749,"6","6"
"cell_282","cell",5370,2517,0.409683426443203,"10","10"
"cell_283","cell",5323,2586,0.826601540484689,"7","7"
"cell_284","cell",5323,2817,0.206650385121172,"4","4"
"cell_285","cell",5312,2584,0.545933734939759,"2","2"
"cell_286","cell",5305,2547,0.395852968897267,"3","3"
"cell_287","cell",5297,2713,0.0755144421370587,"0","0"
"cell_288","cell",5293,2753,0.13225014169658,"5","5"
"cell_289","cell",5296,2617,0.0377643504531722,"3","3"
"cell_290","cell",5290,2536,0.756143667296786,"1","1"
"cell_291","cell",5286,2779,0.170261066969353,"6","6"
"cell_292","cell",5275,2902,0.0758293838862559,"3","3"
"cell_293","cell",5271,2696,0.512236767216847,"2","2"
"cell_294","cell",5274,2344,0.341296928327645,"1","1"
"cell_295","cell",5259,2776,0.437345502947328,"3","3"
"cell_296","cell",5260,2442,0.228136882129278,"4","4"
"cell_297","cell",5260,2886,0.114068441064639,"3","3"
"cell_298","cell",5257,2316,0.646756705345254,"3","3"
"cell_299","cell",5256,2365,0.60882800608828,"7","7"
"cell_300","cell",5246,2530,0.304994281357225,"7","7"
"cell_301","cell",5241,2696,0.629650829994276,"2","2"
"cell_302","cell",5236,2467,0.993124522536287,"2","2"
"cell_303","cell",5231,2924,0.0382336073408526,"2","2"
"cell_304","cell",5226,2547,0.248756218905473,"2","2"
"cell_305","cell",5214,2947,0.498657460682777,"2","2"
"cell_306","cell",5223,2143,1.34022592379858,"7","7"
"cell_307","cell",5209,3121,0.115185256287195,"0","0"
"cell_308","cell",5213,2440,0.306924995204297,"4","4"
"cell_309","cell",5214,2560,0.0958956655159187,"0","0"
"cell_310","cell",5196,2751,0.538876058506544,"1","1"
"cell_311","cell",5177,2898,0.309059300753332,"0","0"
"cell_312","cell",5182,3007,0.0578927055191046,"5","5"
"cell_313","cell",5170,2668,0.154738878143133,"3","3"
"cell_314","cell",5166,2818,0.2710027100271,"0","0"
"cell_315","cell",5146,2584,0.388651379712398,"1","1"
"cell_316","cell",5146,2826,0.252623396813059,"6","6"
"cell_317","cell",5138,2856,0.0583884780070066,"3","3"
"cell_318","cell",5134,2551,0.214257888585898,"1","1"
"cell_319","cell",5125,2733,0.214634146341463,"0","0"
"cell_320","cell",5122,2760,0.351425224521671,"6","6"
"cell_321","cell",5128,2634,0.46801872074883,"2","2"
"cell_322","cell",5116,2717,1.29007036747459,"2","2"
"cell_323","cell",5105,2845,0.176297747306562,"5","5"
"cell_324","cell",5106,2733,0.215432824128476,"7","7"
"cell_325","cell",5105,2679,0.940254652301665,"2","2"
"cell_326","cell",5096,2566,0.098116169544741,"5","5"
"cell_327","cell",5063,2815,0.355520442425439,"5","5"
"cell_328","cell",5052,2323,0,"4","4"
"cell_329","cell",5037,2662,0.238237045860631,"2","2"
"cell_330","cell",5034,2181,0.317838696861343,"1","1"
"cell_331","cell",5019,2649,0.119545726240287,"6","6"
"cell_332","cell",5006,2667,0.13983220135837,"3","3"
"cell_333","cell",5004,2714,0.159872102318145,"2","2"
"cell_334","cell",5001,2431,1.0997800439912,"1","1"
"cell_335","cell",5006,2450,0.519376747902517,"2","2"
"cell_336","cell",4987,2630,0.38099057549629,"1","1"
"cell_337","cell",4960,2541,0.141129032258065,"4","4"
"cell_338","cell",4966,2515,0.906161900926299,"2","2"
"cell_339","cell",4966,2578,0.865888038662908,"1","1"
"cell_340","cell",4948,2772,0.101050929668553,"6","6"
"cell_341","cell",4947,2540,0.141499898928644,"1","1"
"cell_342","cell",4938,2722,0.121506682867558,"8","8"
"cell_343","cell",4936,2720,0.162074554294976,"5","5"
"cell_344","cell",4930,2661,0.283975659229209,"4","4"
"cell_345","cell",4914,2587,0.854700854700855,"1","1"
"cell_346","cell",4914,2531,0.162800162800163,"6","6"
"cell_347","cell",4900,2439,0.36734693877551,"4","4"
"cell_348","cell",4897,2512,0.122523994282214,"4","4"
"cell_349","cell",4879,2104,0.594384095101455,"5","5"
"cell_350","cell",4863,2585,0.143944067448077,"5","5"
"cell_351","cell",4858,2092,0.370522848909016,"2","2"
"cell_352","cell",4849,2496,0.329964941224995,"7","7"
"cell_353","cell",4854,2369,0.123609394313968,"6","6"
"cell_354","cell",4851,2458,0.659657802514945,"2","2"
"cell_355","cell",4848,2586,0.247524752475248,"0","0"
"cell_356","cell",4853,2417,0.144240675870595,"4","4"
"cell_357","cell",4839,2643,0.0413308534821244,"4","4"
"cell_358","cell",4837,2500,0.124043828819516,"2","2"
"cell_359","cell",4832,2565,0.0827814569536424,"4","4"
"cell_360","cell",4820,2404,0.20746887966805,"2","2"
"cell_361","cell",4819,2436,0.560282216227433,"3","3"
"cell_362","cell",4813,2161,0.186993559110742,"4","4"
"cell_363","cell",4806,2688,0.104036620890553,"4","4"
"cell_364","cell",4793,2128,0.0625912789484665,"4","4"
"cell_365","cell",4796,2421,0.312760633861551,"2","2"
"cell_366","cell",4796,2491,0.0834028356964137,"5","5"
"cell_367","cell",4788,2528,0.271512113617377,"3","3"
"cell_368","cell",4775,2374,0.209424083769634,"10","10"
"cell_369","cell",4783,2533,1.06627639556764,"0","0"
"cell_370","cell",4790,2381,0.501043841336117,"1","1"
"cell_371","cell",4777,2397,0.14653548252041,"4","4"
"cell_372","cell",4772,2468,0.314333612740989,"4","4"
"cell_373","cell",4773,2595,0.230463021160696,"6","6"
"cell_374","cell",4774,2280,0.523669878508588,"6","6"
"cell_375","cell",4767,2532,0.146842878120411,"0","0"
"cell_376","cell",4765,2204,0.377754459601259,"2","2"
"cell_377","cell",4758,2492,0.399327448507776,"6","6"
"cell_378","cell",4756,2434,0.294365012615643,"2","2"
"cell_379","cell",4749,2537,0.210570646451885,"3","3"
"cell_380","cell",4744,2772,0.21079258010118,"5","5"
"cell_381","cell",4735,2461,1.01372756071806,"2","2"
"cell_382","cell",4740,2258,0.0210970464135021,"4","4"
"cell_383","cell",4707,2605,0.552368812407053,"6","6"
"cell_384","cell",4695,2309,0.362087326943557,"3","3"
"cell_385","cell",4687,2389,0.341369746106251,"7","7"
"cell_386","cell",4686,2369,0.149381135296628,"0","0"
"cell_387","cell",4677,2407,0.513149454778704,"1","1"
"cell_388","cell",4658,2228,0.665521683125805,"2","2"
"cell_389","cell",4642,2673,0.430848772081,"6","6"
"cell_390","cell",4630,2686,0.215982721382289,"0","0"
"cell_391","cell",4639,2258,0.711360206941151,"4","4"
"cell_392","cell",4636,2601,0.172562553925798,"0","0"
"cell_393","cell",4629,2479,0.0432058759991359,"6","6"
"cell_394","cell",4621,2271,0.346245401428262,"7","7"
"cell_395","cell",4615,2425,0.47670639219935,"3","3"
"cell_396","cell",4611,2504,0.216872695727608,"5","5"
"cell_397","cell",4605,2150,0.521172638436482,"2","2"
"cell_398","cell",4598,2389,3.04480208786429,"7","7"
"cell_399","cell",4585,2286,0.218102508178844,"4","4"
"cell_400","cell",4583,2507,0.370936068077678,"5","5"
"cell_401","cell",4580,2456,0.305676855895196,"1","1"
"cell_402","cell",4575,2529,0.349726775956284,"1","1"
"cell_403","cell",4562,2487,0.416483998246383,"1","1"
"cell_404","cell",4553,2430,0.636942675159236,"7","7"
"cell_405","cell",4543,2473,0.0660356592559982,"1","1"
"cell_406","cell",4531,2315,1.3021408077687,"4","4"
"cell_407","cell",4503,1891,1.17699311570064,"1","1"
"cell_408","cell",4491,2381,0.178134045869517,"4","4"
"cell_409","cell",4495,2501,0.533926585094549,"1","1"
"cell_410","cell",4491,2296,0.378534847472723,"2","2"
"cell_411","cell",4492,2145,0.756901157613535,"3","3"
"cell_412","cell",4488,2378,0.289661319073084,"2","2"
"cell_413","cell",4484,1887,0.0892060660124889,"4","4"
"cell_414","cell",4470,2482,0.87248322147651,"2","2"
"cell_415","cell",4468,2407,0.962399283795882,"2","2"
"cell_416","cell",4473,2383,1.11781801922647,"5","5"
"cell_417","cell",4467,2316,0.447727781508843,"2","2"
"cell_418","cell",4450,2288,0.853932584269663,"4","4"
"cell_419","cell",4450,2272,0.179775280898876,"4","4"
"cell_420","cell",4450,2163,1.1685393258427,"2","2"
"cell_421","cell",4440,2359,0.495495495495495,"10","10"
"cell_422","cell",4406,2432,0.113481615978212,"0","0"
"cell_423","cell",4418,2502,0.248981439565414,"2","2"
"cell_424","cell",4419,1976,0.0452591083955646,"9","9"
"cell_425","cell",4410,2409,0.385487528344671,"3","3"
"cell_426","cell",4412,2392,0.634632819582956,"3","3"
"cell_427","cell",4397,2403,2.00136456675006,"2","2"
"cell_428","cell",4400,2158,0.318181818181818,"2","2"
"cell_429","cell",4387,1901,0.182356963756553,"9","9"
"cell_430","cell",4399,2439,0.841100250056831,"1","1"
"cell_431","cell",4385,2331,0.866590649942988,"1","1"
"cell_432","cell",4389,2180,0.387331966279335,"1","1"
"cell_433","cell",4378,2322,0.114207400639561,"5","5"
"cell_434","cell",4373,2174,0.274411159387148,"4","4"
"cell_435","cell",4368,1958,0.595238095238095,"4","4"
"cell_436","cell",4354,2639,0.321543408360129,"0","0"
"cell_437","cell",4349,2488,0.367900666819959,"4","4"
"cell_438","cell",4357,2160,0.413128299288501,"2","2"
"cell_439","cell",4353,2530,0.0918906501263496,"2","2"
"cell_440","cell",4340,2126,0.32258064516129,"1","1"
"cell_441","cell",4338,2518,0.230520977408944,"2","2"
"cell_442","cell",4339,2243,0.507029269416916,"7","7"
"cell_443","cell",4332,2031,0.43859649122807,"3","3"
"cell_444","cell",4317,2323,0.486448922863099,"0","0"
"cell_445","cell",4316,2437,1.08897126969416,"8","8"
"cell_446","cell",4313,2218,0.579642939948991,"2","2"
"cell_447","cell",4306,2429,0.16256386437529,"1","1"
"cell_448","cell",4302,2394,0.743840074384007,"4","4"
"cell_449","cell",4301,2106,0.162752848174843,"6","6"
"cell_450","cell",4293,2604,0.232937339855579,"0","0"
"cell_451","cell",4295,2113,0.30267753201397,"1","1"
"cell_452","cell",4285,2206,0.44340723453909,"5","5"
"cell_453","cell",4256,1999,0.493421052631579,"3","3"
"cell_454","cell",4243,2610,0.0707046900777752,"0","0"
"cell_455","cell",4240,2419,0.400943396226415,"1","1"
"cell_456","cell",4230,2242,0.898345153664303,"3","3"
"cell_457","cell",4234,2173,1.36986301369863,"2","2"
"cell_458","cell",4231,2115,0.330891042306783,"4","4"
"cell_459","cell",4233,2539,0.23623907394283,"0","0"
"cell_460","cell",4229,2180,0.212816268621423,"6","6"
"cell_461","cell",4213,2150,0.284832660811773,"4","4"
"cell_462","cell",4193,2074,0.286191271166229,"4","4"
"cell_463","cell",4193,2265,0.286191271166229,"6","6"
"cell_464","cell",4183,2170,0.167344011475018,"6","6"
"cell_465","cell",4192,2141,0.333969465648855,"3","3"
"cell_466","cell",4177,2430,0.215465645199904,"3","3"
"cell_467","cell",4185,2181,0.38231780167264,"7","7"
"cell_468","cell",4185,2468,0.31063321385902,"2","2"
"cell_469","cell",4163,2219,0.312274801825607,"1","1"
"cell_470","cell",4157,2461,0.120279047389945,"5","5"
"cell_471","cell",4159,2230,0.793459966338062,"1","1"
"cell_472","cell",4138,2137,0.14499758337361,"10","10"
"cell_473","cell",4126,2381,0.0969461948618517,"0","0"
"cell_474","cell",4121,2381,0.194127638922592,"5","5"
"cell_475","cell",4118,2473,0.412821758135017,"0","0"
"cell_476","cell",4125,2148,0.193939393939394,"1","1"
"cell_477","cell",4126,2234,0.218128938439166,"4","4"
"cell_478","cell",4123,1994,0.0485083676934271,"2","2"
"cell_479","cell",4103,2539,0.219351693882525,"0","0"
