"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","RNA_snn_res.0.8","seurat_clusters"
"cell_2","cell",12689,4978,0.228544408542832,"1","1"
"cell_3","cell",12173,4910,0.188942742134231,"2","2"
"cell_4","cell",11818,4670,0.524623455745473,"2","2"
"cell_5","cell",11632,4590,0.146148555708391,"1","1"
"cell_6","cell",11541,4638,0.268607573000607,"6","6"
"cell_7","cell",11457,4634,0.305490093392686,"1","1"
"cell_8","cell",11330,4502,0.370697263901147,"6","6"
"cell_9","cell",11327,4567,0.203054648185751,"1","1"
"cell_10","cell",11328,4428,0.432556497175141,"2","2"
"cell_11","cell",11152,4705,0.0717360114777618,"3","3"
"cell_12","cell",11063,4481,0.17174365000452,"3","3"
"cell_13","cell",11004,4434,0.209014903671392,"1","1"
"cell_14","cell",10949,4501,0.136998812676957,"1","1"
"cell_16","cell",10606,4209,0.820290401659438,"1","1"
"cell_17","cell",10255,4115,0.331545587518284,"1","1"
"cell_18","cell",10234,4028,0.293140512018761,"1","1"
"cell_19","cell",10146,4374,0.216834220382417,"5","5"
"cell_20","cell",10085,4145,0.475954387704512,"7","7"
"cell_21","cell",10024,4282,0.229449321628093,"6","6"
"cell_22","cell",9810,4377,0.642201834862385,"0","0"
"cell_23","cell",9799,4251,0.11225635268905,"1","1"
"cell_24","cell",9769,3938,0.266148019244549,"6","6"
"cell_25","cell",9739,4366,0.143751925248999,"5","5"
"cell_26","cell",9697,4249,0.525935856450449,"3","3"
"cell_27","cell",9670,4210,0.0827300930713547,"0","0"
"cell_28","cell",9662,3816,0.165597184847858,"1","1"
"cell_29","cell",9574,3726,0.511802799247963,"1","1"
"cell_30","cell",9535,4321,0.0524383848977451,"6","6"
"cell_31","cell",9543,3977,0.0943099654196794,"2","2"
"cell_32","cell",9440,4151,0.963983050847458,"2","2"
"cell_33","cell",9399,3938,0.212788594531333,"2","2"
"cell_34","cell",9344,4046,0.235445205479452,"3","3"
"cell_35","cell",9336,3838,0.182090831191088,"1","1"
"cell_36","cell",9304,3763,0.483662940670679,"2","2"
"cell_37","cell",9253,3957,0.551172592672647,"6","6"
"cell_38","cell",9213,4069,0.217084554433952,"0","0"
"cell_39","cell",9206,3895,0.434499239626331,"4","4"
"cell_40","cell",9208,4321,0.0868809730668983,"3","3"
"cell_41","cell",9185,3894,0.424605334784975,"1","1"
"cell_42","cell",9182,3682,1.67719451099978,"2","2"
"cell_43","cell",9125,3908,0.405479452054795,"5","5"
"cell_44","cell",8992,4073,0.244661921708185,"1","1"
"cell_45","cell",8987,3919,0.344942695003895,"2","2"
"cell_46","cell",8940,3779,0.671140939597315,"1","1"
"cell_47","cell",8912,4338,0.0673249551166966,"0","0"
