"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",2.14691691846445e-106,2.04690304660181,0.93,0.362,4.54695534161586e-102,"0","THBS1"
"2",2.65266992736021e-98,1.56085065413387,0.849,0.206,5.61808963915619e-94,"0","LYZ"
"3",3.52596464055316e-80,1.3032550759079,0.985,0.687,7.46764051222753e-76,"0","HLA-DRA"
"4",1.1194179008744e-77,1.90411159957914,0.522,0.062,2.37081517226189e-73,"0","SDS"
"5",1.79400182436049e-74,1.27994048478775,0.875,0.33,3.79951646381308e-70,"0","TYMP"
"6",3.77109029231243e-69,1.24738907332021,0.926,0.538,7.98679213008849e-65,"0","HLA-DRB1"
"7",2.13114234823656e-67,1.03550733722352,0.985,0.539,4.51354637933022e-63,"0","SRGN"
"8",2.73793007140479e-63,1.31120787297028,0.849,0.397,5.79866209822821e-59,"0","HLA-DPB1"
"9",6.8789333534061e-62,1.01545819160687,0.978,0.698,1.45688929491788e-57,"0","CD74"
"10",9.60060301652098e-61,1.22118642130269,0.765,0.254,2.03331171286898e-56,"0","GPR183"
"11",2.62608196503149e-60,1.65276758118215,0.493,0.081,5.5617789937402e-56,"0","AREG"
"12",1.05151564640469e-59,1.3466432228317,0.691,0.216,2.22700498752049e-55,"0","HLA-DQB1"
"13",1.98224478959258e-56,0.951180393928032,0.93,0.433,4.19819623987812e-52,"0","LAPTM5"
"14",3.30478649004422e-54,1.45292278775048,0.665,0.22,6.99920730726465e-50,"0","S100A4"
"15",3.32517542890651e-54,1.31849198709511,0.82,0.423,7.04238904088109e-50,"0","ATP1B3"
"16",1.58718789293344e-51,0.972653744711715,0.824,0.333,3.36150523844374e-47,"0","FCER1G"
"17",1.78988361723265e-50,1.16080521431714,0.779,0.354,3.79079451293704e-46,"0","HLA-DRB6"
"18",8.73661416979962e-50,1.09552495280811,0.816,0.355,1.85032751502186e-45,"0","CD163"
"19",3.68239079316976e-49,1.16804736366182,0.581,0.159,7.79893546085423e-45,"0","SLC16A10"
"20",6.52984507766454e-49,0.989534782719994,0.812,0.354,1.38295588899857e-44,"0","TYROBP"
"21",7.69461841025931e-49,1.04029054733602,0.849,0.469,1.62964323310882e-44,"0","HLA-DPA1"
"22",7.80890464001911e-48,1.11549986714991,0.688,0.243,1.65384791370965e-43,"0","OLR1"
"23",9.55706173632846e-48,1.1559531744758,0.768,0.371,2.024090105137e-43,"0","GRN"
"24",1.10111000018695e-46,0.909990872420495,0.824,0.365,2.33204086939595e-42,"0","CYBA"
"25",1.51682486597867e-46,1.17931652006179,0.706,0.284,3.21248338365623e-42,"0","TGFBI"
"26",4.20958038470539e-45,1.33787160982777,0.544,0.154,8.91547029676755e-41,"0","THBD"
"27",3.76105144038894e-44,1.11021368093729,0.768,0.367,7.96553084559973e-40,"0","STAB1"
"28",3.68956014427744e-42,0.9522584384457,0.691,0.269,7.81411942956519e-38,"0","CXCL16"
"29",5.15144967144722e-42,1.2648479642366,0.68,0.263,1.09102552591581e-37,"0","PLAUR"
"30",6.84502849343314e-41,1.08093879525969,0.691,0.287,1.44970858462421e-36,"0","C5AR1"
"31",1.08273273279474e-39,1.08372816281919,0.305,0.039,2.29311965478598e-35,"0","EREG"
"32",3.08823286852167e-39,1.02574296015964,0.379,0.072,6.54056839224205e-35,"0","SEMA6B"
"33",4.10971466324887e-39,0.956416113953714,0.676,0.282,8.70396468529479e-35,"0","MGAT1"
"34",6.65843273829252e-39,1.23590832756488,0.647,0.284,1.41018946964297e-34,"0","HLA-DRB5"
"35",1.26328927334945e-37,1.06600038169292,0.441,0.111,2.6755203520268e-33,"0","FGL2"
"36",2.07312537015178e-37,0.89351856987028,0.61,0.224,4.39067222144445e-33,"0","IER3"
"37",2.34006646618969e-37,0.931912902475853,0.562,0.185,4.95602676874314e-33,"0","BASP1"
"38",8.53916241093829e-36,0.953402144078562,0.768,0.452,1.80850920701262e-31,"0","CEBPB"
"39",4.0670860495352e-34,0.941575829171966,0.507,0.163,8.61368154431061e-30,"0","CTSS"
"40",7.03774758578755e-34,1.21595127459186,0.478,0.159,1.49052456119395e-29,"0","INSIG1"
"41",1.14431486191984e-31,0.946622202639137,0.588,0.257,2.42354444606003e-27,"0","HLA-DMA"
"42",3.12616822273443e-31,0.896308492016232,0.61,0.242,6.62091167892926e-27,"0","S100A9"
"43",1.11215244957935e-30,0.968039881070899,0.393,0.109,2.35542767296411e-26,"0","GK"
"44",1.26139609595486e-30,0.993718433473559,0.272,0.044,2.67151079162281e-26,"0","RP11-1143G9.4"
"45",5.51416101305055e-30,1.04870091456494,0.412,0.121,1.16784416095398e-25,"0","ITGAX"
"46",1.53670025012036e-28,0.910104773816911,0.261,0.044,3.2545774597299e-24,"0","MRC1"
"47",4.23031993256135e-25,1.00115302106284,0.504,0.217,8.95939458517169e-21,"0","HLA-DQA1"
"48",1.61802132650263e-22,0.897136317529576,0.467,0.2,3.42680736739993e-18,"0","CHMP1B"
"49",5.52249261483873e-17,1.15028844199524,0.316,0.122,1.16960871089669e-12,"0","MMP19"
"50",4.99636300162337e-15,0.892521858944078,0.357,0.157,1.05817972011381e-10,"0","PPIF"
"51",9.87967535776395e-101,1.67791464754397,0.892,0.265,2.09241644402083e-96,"1","PTN"
"52",1.57750543103203e-85,1.64216741945305,0.823,0.237,3.34099875238275e-81,"1","GAP43"
"53",3.67986061198388e-85,2.19450072300495,0.858,0.338,7.79357679012066e-81,"1","GFAP"
"54",4.44538620364482e-85,1.44863166120921,0.992,0.647,9.41488344069936e-81,"1","CLU"
"55",3.36247090305672e-79,1.51047475734846,0.792,0.227,7.12137712558383e-75,"1","PTPRZ1"
"56",4.89014595009525e-77,1.59628827793624,0.819,0.287,1.03568401077067e-72,"1","EFEMP1"
"57",3.42893317865691e-70,1.32548319294452,0.854,0.363,7.26213757907746e-66,"1","SPARC"
"58",4.28641576286407e-68,1.43894118886709,0.877,0.422,9.07819994416982e-64,"1","MT3"
"59",8.61257284720651e-65,1.54433556484268,0.546,0.101,1.82405680330987e-60,"1","HOPX"
"60",1.5669760733458e-63,1.18611911741132,0.662,0.164,3.31869862573906e-59,"1","GPM6A"
"61",2.87007361583278e-63,1.4447420306673,0.488,0.074,6.07852891097225e-59,"1","FABP7"
"62",1.9865216984375e-58,1.18464241810869,0.835,0.36,4.20725430512079e-54,"1","CPE"
"63",3.05036788028677e-58,1.18000615779524,0.769,0.274,6.46037413365935e-54,"1","CNN3"
"64",3.48771460991247e-57,1.30840758920793,0.827,0.388,7.38663077233363e-53,"1","TUBA1A"
"65",1.13880807286016e-55,1.24636384076219,0.608,0.16,2.41188161751053e-51,"1","SCRG1"
"66",5.91877491589433e-54,1.20958432902366,0.646,0.188,1.25353733943726e-49,"1","TUBB2B"
