"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","RNA_snn_res.0.5","seurat_clusters","RNA_snn_res.0.8"
"cell_2760","cell",617,453,0,"0","0","0"
"cell_2761","cell",620,468,0,"1","1","1"
"cell_2762","cell",616,458,0.162337662337662,"5","5","5"
"cell_2763","cell",619,427,0,"3","3","3"
"cell_2764","cell",619,469,0.484652665589661,"1","1","1"
"cell_2765","cell",614,391,0,"3","3","3"
"cell_2766","cell",619,460,0,"1","1","1"
"cell_2767","cell",617,464,0.486223662884927,"5","5","5"
"cell_2768","cell",615,477,0,"0","0","0"
"cell_2769","cell",614,462,0,"5","5","5"
"cell_2770","cell",614,469,0.325732899022801,"7","7","7"
"cell_2771","cell",613,489,0.163132137030995,"1","1","1"
"cell_2772","cell",614,503,2.28013029315961,"0","0","0"
"cell_2773","cell",615,508,0,"4","4","4"
"cell_2774","cell",614,476,0.325732899022801,"1","1","1"
"cell_2775","cell",615,466,0,"0","0","0"
"cell_2776","cell",615,477,0,"1","1","1"
"cell_2777","cell",614,461,0.162866449511401,"0","0","0"
"cell_2778","cell",615,482,0.813008130081301,"2","2","2"
"cell_2779","cell",614,469,0.162866449511401,"1","1","1"
"cell_2780","cell",614,462,0.488599348534202,"5","5","5"
"cell_2781","cell",613,467,0,"1","1","1"
"cell_2782","cell",611,490,0,"1","1","1"
"cell_2783","cell",612,476,0.163398692810458,"2","2","2"
"cell_2784","cell",610,472,0,"1","1","1"
"cell_2785","cell",611,439,0.327332242225859,"1","1","1"
"cell_2786","cell",610,445,0.327868852459016,"0","0","0"
"cell_2787","cell",608,451,0.328947368421053,"1","2","2"
"cell_2788","cell",610,437,0.819672131147541,"1","2","2"
"cell_2789","cell",608,424,1.15131578947368,"1","1","1"
"cell_2790","cell",604,482,0,"1","1","1"
"cell_2791","cell",608,481,0.164473684210526,"3","3","3"
"cell_2792","cell",609,455,0.821018062397373,"4","4","4"
"cell_2793","cell",607,503,0,"0","0","0"
"cell_2794","cell",604,474,0.496688741721854,"1","1","1"
"cell_2795","cell",605,437,0,"3","3","3"
"cell_2796","cell",607,449,0,"1","1","1"
"cell_2797","cell",604,466,0,"1","1","1"
"cell_2798","cell",601,510,0.998336106489185,"1","1","1"
"cell_2799","cell",605,445,0.991735537190083,"0","8","8"
"cell_2800","cell",603,488,1.16086235489221,"0","0","0"
"cell_2801","cell",606,504,0.33003300330033,"0","0","0"
"cell_2802","cell",604,451,0,"5","5","5"
"cell_2803","cell",604,465,0.33112582781457,"7","7","7"
"cell_2804","cell",603,439,0.165837479270315,"1","1","1"
"cell_2805","cell",603,489,0.497512437810945,"1","1","1"
"cell_2806","cell",605,498,0.826446280991736,"0","0","0"
"cell_2807","cell",603,437,0.33167495854063,"3","3","3"
"cell_2808","cell",602,351,0.166112956810631,"3","3","3"
"cell_2809","cell",601,445,0.166389351081531,"7","7","7"
"cell_2810","cell",600,454,0.666666666666667,"5","5","5"
"cell_2811","cell",603,408,3.3167495854063,"0","0","0"
"cell_2812","cell",595,414,1.00840336134454,"1","12","12"
"cell_2813","cell",602,441,0.498338870431894,"7","7","7"
"cell_2814","cell",600,452,0.333333333333333,"0","0","0"
"cell_2815","cell",601,474,0.166389351081531,"4","4","4"
"cell_2816","cell",601,471,0,"6","6","6"
"cell_2817","cell",600,478,0.666666666666667,"7","7","7"
"cell_2818","cell",596,468,0.167785234899329,"4","4","4"
"cell_2819","cell",598,479,0.501672240802676,"1","0","0"
"cell_2820","cell",595,463,0,"1","1","1"
"cell_2821","cell",598,429,0.501672240802676,"0","0","0"
"cell_2822","cell",598,450,0,"2","2","2"
"cell_2823","cell",597,480,0.33500837520938,"2","2","2"
"cell_2824","cell",597,436,0,"7","7","7"
"cell_2825","cell",590,454,0.169491525423729,"2","2","2"
"cell_2826","cell",596,428,0.335570469798658,"1","1","1"
"cell_2827","cell",593,469,0.337268128161889,"2","2","2"
"cell_2828","cell",595,439,0.504201680672269,"0","0","0"
"cell_2829","cell",596,469,0,"0","0","0"
"cell_2830","cell",594,421,0.673400673400673,"1","1","1"
"cell_2831","cell",595,490,0,"0","0","0"
"cell_2832","cell",596,427,0.335570469798658,"1","1","1"
"cell_2833","cell",595,452,0,"6","6","6"
"cell_2834","cell",595,486,0.168067226890756,"2","2","2"
"cell_2835","cell",593,433,0.168634064080944,"1","1","1"
"cell_2836","cell",594,461,0,"2","2","2"
"cell_2837","cell",594,454,0.841750841750842,"1","1","1"
"cell_2838","cell",590,461,4.57627118644068,"0","0","0"
"cell_2839","cell",593,407,1.5177065767285,"0","0","0"
"cell_2840","cell",589,437,0.67911714770798,"1","1","1"
"cell_2841","cell",591,478,0.169204737732657,"4","4","4"
"cell_2842","cell",591,461,0.676818950930626,"1","1","1"
"cell_2843","cell",590,453,0.169491525423729,"7","7","7"
"cell_2844","cell",588,468,0.170068027210884,"8","9","9"
"cell_2845","cell",588,461,0.510204081632653,"1","9","9"
"cell_2846","cell",589,436,0,"0","0","0"
"cell_2847","cell",588,424,0.340136054421769,"0","0","0"
"cell_2848","cell",589,442,0,"2","2","2"
"cell_2849","cell",588,480,0.170068027210884,"1","1","1"
"cell_2850","cell",589,434,0,"0","0","0"
"cell_2851","cell",587,470,0.340715502555366,"0","0","0"
"cell_2852","cell",588,448,0.340136054421769,"0","0","0"
"cell_2853","cell",586,402,0.341296928327645,"1","1","1"
"cell_2854","cell",587,456,0.511073253833049,"4","4","4"
"cell_2855","cell",587,430,0,"0","0","0"
"cell_2856","cell",585,437,0.170940170940171,"1","2","2"
"cell_2857","cell",586,393,2.55972696245734,"3","3","3"
"cell_2858","cell",585,441,0,"1","1","1"
"cell_2859","cell",585,460,0,"6","6","6"
"cell_2860","cell",584,454,0.171232876712329,"4","4","4"
"cell_2861","cell",584,412,0,"3","3","3"
"cell_2862","cell",582,468,0.515463917525773,"4","4","4"
"cell_2863","cell",584,477,0,"1","1","1"
"cell_2864","cell",581,437,0.688468158347676,"0","0","0"
"cell_2865","cell",582,451,0.171821305841924,"2","2","2"
"cell_2866","cell",578,469,0.173010380622837,"1","1","1"
"cell_2867","cell",582,449,0.343642611683849,"1","1","1"
"cell_2868","cell",581,487,0.344234079173838,"1","1","1"
"cell_2869","cell",581,424,1.72117039586919,"1","1","1"
"cell_2870","cell",579,442,0.172711571675302,"6","6","6"
"cell_2871","cell",580,454,0.344827586206897,"1","1","1"
"cell_2872","cell",580,450,0,"1","1","1"
"cell_2873","cell",580,445,0.689655172413793,"0","0","0"
"cell_2874","cell",579,436,0.345423143350604,"1","12","12"
"cell_2875","cell",577,415,0.173310225303293,"2","2","2"
"cell_2876","cell",579,473,0.863557858376511,"1","1","1"
"cell_2877","cell",579,462,0,"1","1","1"
"cell_2878","cell",578,473,0.173010380622837,"0","0","0"
"cell_2879","cell",578,419,0.69204152249135,"1","1","1"
"cell_2880","cell",578,489,0.173010380622837,"2","2","2"
"cell_2881","cell",576,384,0.173611111111111,"0","0","0"
"cell_2882","cell",576,436,0,"2","2","2"
"cell_2883","cell",575,414,0.347826086956522,"0","0","0"
"cell_2884","cell",574,484,0.348432055749129,"0","0","0"
"cell_2885","cell",575,464,0.173913043478261,"7","7","7"
"cell_2886","cell",573,474,0.174520069808028,"2","2","2"
"cell_2887","cell",574,395,0,"6","6","6"
"cell_2888","cell",572,460,0.524475524475524,"4","4","4"
"cell_2889","cell",570,478,0.350877192982456,"1","1","1"
"cell_2890","cell",569,395,0.351493848857645,"3","3","3"
"cell_2891","cell",569,428,0.70298769771529,"1","1","1"
"cell_2892","cell",571,471,0.350262697022767,"1","1","1"
"cell_2893","cell",570,436,0,"5","5","5"
"cell_2894","cell",569,431,0.175746924428822,"7","7","7"
"cell_2895","cell",569,459,0,"0","0","0"
"cell_2896","cell",570,414,0.175438596491228,"1","0","0"
"cell_2897","cell",565,459,0.530973451327434,"1","1","1"
"cell_2898","cell",565,438,0,"1","1","1"
"cell_2899","cell",568,398,0.176056338028169,"1","1","1"
"cell_2900","cell",568,421,0.528169014084507,"2","2","2"
"cell_2901","cell",568,426,0.176056338028169,"1","1","1"
"cell_2902","cell",568,386,0.176056338028169,"0","0","0"
"cell_2903","cell",566,412,0.353356890459364,"5","5","5"
"cell_2904","cell",568,405,0,"0","0","0"
"cell_2905","cell",564,461,0,"4","4","4"
"cell_2906","cell",566,450,0.176678445229682,"2","2","2"
"cell_2907","cell",565,441,0.176991150442478,"5","5","5"
"cell_2908","cell",566,468,0.530035335689046,"2","2","2"
"cell_2909","cell",565,456,0.176991150442478,"1","1","1"
"cell_2910","cell",562,449,0,"4","4","4"
"cell_2911","cell",565,435,0.353982300884956,"5","5","5"
"cell_2912","cell",566,477,0,"1","1","1"
"cell_2913","cell",566,451,0.353356890459364,"4","4","4"
