"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","RNA_snn_res.0.5","seurat_clusters","RNA_snn_res.0.8"
"cell_37","cell",5085,2495,0.15732546705998,"0","0","0"
"cell_40","cell",4978,2470,0.0803535556448373,"5","5","5"
"cell_43","cell",4887,2472,0.286474319623491,"5","5","5"
"cell_45","cell",4831,2492,0.703788035603395,"0","0","0"
"cell_48","cell",4809,2482,0.270326471199834,"0","0","0"
"cell_53","cell",4594,2245,0.544188071397475,"0","0","0"
"cell_54","cell",4597,2337,0.174026539047205,"5","5","5"
"cell_56","cell",4565,2327,0.175246440306681,"4","4","4"
"cell_57","cell",4543,2268,0.176095091349329,"3","3","3"
"cell_58","cell",4536,2429,0.0440917107583774,"4","4","4"
"cell_59","cell",4534,2414,0.110277900308778,"5","5","5"
"cell_61","cell",4523,2259,0.442184390891002,"5","5","5"
"cell_62","cell",4507,2344,0.133126248058576,"5","5","5"
"cell_63","cell",4465,2312,0.291153415453527,"4","4","4"
"cell_64","cell",4426,2254,0.474469046543154,"5","5","5"
"cell_65","cell",4398,2241,0.11368804001819,"5","5","5"
"cell_66","cell",4394,2387,0.0455166135639508,"4","4","4"
"cell_67","cell",4397,2437,0.0909711166704571,"4","4","4"
"cell_68","cell",4372,2384,0.0686184812442818,"4","4","4"
"cell_70","cell",4351,2194,0.298781889220869,"3","3","3"
"cell_71","cell",4344,2367,0.115101289134438,"4","4","4"
"cell_72","cell",4325,2221,0.092485549132948,"5","5","5"
"cell_73","cell",4322,2473,0.11568718186025,"4","4","4"
"cell_74","cell",4320,2269,0.0462962962962963,"0","0","0"
"cell_75","cell",4316,2320,0.20852641334569,"2","2","2"
"cell_77","cell",4285,2132,0.0233372228704784,"0","0","0"
"cell_78","cell",4282,2456,0.0467071461933676,"4","4","4"
"cell_79","cell",4276,2259,0.561272217025257,"0","0","0"
"cell_80","cell",4268,2173,0.117150890346767,"0","0","0"
"cell_81","cell",4241,2271,0.0707380334826692,"4","4","4"
"cell_82","cell",4234,2381,0.141709966934341,"4","4","4"
"cell_83","cell",4238,2113,0.25955639452572,"5","5","5"
"cell_84","cell",4219,2317,0.118511495615075,"6","6","6"
"cell_85","cell",4225,2132,0.307692307692308,"0","0","0"
"cell_86","cell",4200,2186,0.119047619047619,"0","0","0"
"cell_87","cell",4192,2126,0.0477099236641221,"0","0","0"
"cell_88","cell",4177,2076,0.0718218817333014,"5","5","5"
"cell_89","cell",4169,2491,0.0959462700887503,"4","4","4"
"cell_90","cell",4169,2402,0.119932837610938,"4","4","4"
"cell_91","cell",4140,2421,0.748792270531401,"0","0","0"
"cell_92","cell",4113,2096,0.364697301239971,"0","0","0"
"cell_93","cell",4099,2106,0.17077335935594,"5","5","5"
"cell_94","cell",4107,2079,0.0973946919892866,"0","0","0"
"cell_95","cell",4097,2196,0.219672931413229,"4","4","4"
"cell_96","cell",4096,2007,0.146484375,"0","0","0"
"cell_97","cell",4091,2325,0.0488878024932779,"4","4","4"
"cell_98","cell",4091,2287,0.171107308726473,"4","4","4"
"cell_99","cell",4060,2250,0.0985221674876847,"0","0","0"
"cell_100","cell",4065,2284,0.0984009840098401,"4","4","4"
"cell_101","cell",4048,2371,0.0494071146245059,"0","8","8"
"cell_102","cell",4044,2304,0.0741839762611276,"4","4","4"
"cell_103","cell",4048,2221,0.271739130434783,"5","5","5"
"cell_104","cell",4039,2225,0.0990344144590245,"0","0","0"
"cell_105","cell",4028,2177,0.868917576961271,"0","0","0"
"cell_106","cell",4011,2087,0.12465719272002,"6","6","6"
"cell_107","cell",4000,2133,0.025,"0","0","0"
"cell_108","cell",3995,2255,0.200250312891114,"0","0","0"
"cell_109","cell",3949,2060,0.30387439858192,"5","5","5"
"cell_110","cell",3935,2197,0.381194409148666,"5","5","5"
"cell_111","cell",3921,2201,0.688599846977812,"3","3","3"
"cell_112","cell",3925,2068,0.331210191082803,"0","1","1"
"cell_113","cell",3915,2270,0.229885057471264,"0","2","2"
"cell_114","cell",3903,1932,0.230591852421214,"0","0","0"
"cell_115","cell",3906,1961,0.793650793650794,"0","0","0"
"cell_116","cell",3882,2123,0.360638845955693,"8","9","9"
"cell_117","cell",3870,2100,1.08527131782946,"0","0","0"
"cell_118","cell",3868,2261,0.387797311271975,"4","4","4"
"cell_119","cell",3867,2119,0.310318076027929,"0","0","0"
"cell_120","cell",3863,2064,0,"0","0","0"
"cell_121","cell",3847,2055,0.129971406290616,"5","5","5"
"cell_122","cell",3807,2037,0.341476228001051,"5","5","5"
"cell_123","cell",3789,2003,0.527843758247559,"0","0","0"
"cell_124","cell",3784,2059,0.766384778012685,"0","0","0"
"cell_125","cell",3773,2238,0.106016432547045,"4","4","4"
"cell_126","cell",3766,1885,0.238980350504514,"3","3","3"
"cell_127","cell",3767,1928,0.265463233342182,"3","3","3"
"cell_128","cell",3750,2069,0.133333333333333,"5","5","5"
"cell_129","cell",3739,1991,0.160470714094678,"5","5","5"
"cell_130","cell",3735,2090,0.0535475234270415,"0","0","0"
"cell_131","cell",3735,2104,0.187416331994645,"2","2","2"
"cell_132","cell",3721,2224,0.241870464928783,"2","2","2"
"cell_133","cell",3730,2005,1.01876675603217,"0","0","0"
"cell_134","cell",3724,2066,0.161117078410312,"5","5","5"
"cell_135","cell",3723,1985,0.51034112275047,"5","5","5"
"cell_136","cell",3718,1959,0.726196880043034,"0","0","0"
"cell_137","cell",3711,2056,0.862301266504985,"0","0","0"
"cell_138","cell",3704,1991,1.05291576673866,"0","0","0"
"cell_139","cell",3688,2002,0,"6","6","6"
"cell_140","cell",3675,2280,0.108843537414966,"4","4","4"
"cell_141","cell",3680,1865,1.79347826086957,"5","5","5"
"cell_142","cell",3682,2164,0,"4","4","4"
"cell_143","cell",3673,2040,0.326708412741628,"0","0","0"
"cell_144","cell",3676,1876,0.380848748639826,"0","0","0"
"cell_145","cell",3671,1891,0.490329610460365,"0","0","0"
"cell_146","cell",3664,2022,0.13646288209607,"0","0","0"
"cell_147","cell",3658,2018,0.136686714051394,"4","4","4"
"cell_148","cell",3640,1987,0.274725274725275,"0","8","8"
"cell_149","cell",3589,2089,0.0557258289217052,"0","0","0"
"cell_150","cell",3570,1913,0.30812324929972,"2","2","2"
"cell_151","cell",3571,1817,0.16802016241949,"3","3","3"
"cell_152","cell",3565,1806,0.168302945301543,"0","0","0"
"cell_153","cell",3557,1862,0,"3","3","3"
"cell_154","cell",3552,2075,0.0563063063063063,"2","2","2"
"cell_155","cell",3555,2010,0.0562587904360056,"2","2","2"
"cell_156","cell",3556,2085,0.30933633295838,"0","0","0"
"cell_157","cell",3554,1989,0.140686550365785,"5","5","5"
"cell_158","cell",3535,2140,0.339462517680339,"4","1","1"
"cell_159","cell",3527,2079,0.113410830734335,"2","2","2"
"cell_160","cell",3530,1918,0.169971671388102,"5","5","5"
"cell_161","cell",3519,2022,0.113668655868144,"4","4","4"
"cell_162","cell",3506,2175,0.342270393610953,"2","2","2"
"cell_163","cell",3508,2104,0.114025085518814,"4","4","4"
"cell_164","cell",3498,1923,0.142938822184105,"0","0","0"
"cell_165","cell",3470,1912,0.115273775216138,"0","0","0"
"cell_166","cell",3456,1977,0.347222222222222,"4","4","4"
"cell_167","cell",3446,2173,0.290191526407429,"5","5","5"
"cell_168","cell",3450,1815,0.0579710144927536,"0","0","0"
"cell_169","cell",3448,1812,0.841067285382831,"0","0","0"
"cell_170","cell",3448,1866,0.174013921113689,"5","5","5"
"cell_171","cell",3446,1784,0.145095763203714,"2","1","1"
"cell_172","cell",3445,1874,0.0290275761973875,"0","0","0"
"cell_173","cell",3439,1848,0.552486187845304,"0","0","0"
"cell_174","cell",3435,1722,0.203784570596798,"0","0","0"
"cell_175","cell",3427,1917,0.72950102130143,"5","5","5"
"cell_176","cell",3416,1838,0.0292740046838408,"6","6","6"
"cell_177","cell",3399,1756,0.676669608708444,"3","3","3"
"cell_178","cell",3410,1834,0.293255131964809,"0","0","0"
"cell_179","cell",3412,1810,0.703399765533412,"0","11","11"
"cell_180","cell",3398,1819,0.441436138905238,"5","5","5"
"cell_181","cell",3404,1775,0.176263219741481,"5","5","5"
"cell_182","cell",3402,1838,0.0881834215167548,"0","0","0"
"cell_183","cell",3403,1728,0.17631501616221,"0","0","0"
"cell_184","cell",3396,1989,0.147232037691402,"5","5","5"
"cell_185","cell",3393,1921,0.648393751842028,"0","0","0"
"cell_186","cell",3377,1967,0.296120817293456,"0","1","1"
"cell_187","cell",3366,1971,0.267379679144385,"5","5","5"
"cell_188","cell",3360,1860,0.327380952380952,"0","0","0"
"cell_189","cell",3360,1824,0.178571428571429,"5","5","5"
"cell_190","cell",3358,1794,0.0893388921977367,"0","0","0"
"cell_191","cell",3352,1746,0.477326968973747,"3","3","3"
"cell_192","cell",3351,1971,0.0596836765144733,"0","0","0"
"cell_193","cell",3348,1943,0.0896057347670251,"5","5","5"
"cell_194","cell",3324,1990,0.0601684717208183,"4","4","4"
"cell_195","cell",3313,1697,0.422577724117114,"3","3","3"
"cell_196","cell",3307,1988,0.0604777744179014,"0","8","8"
"cell_197","cell",3311,1895,0.120809423135005,"0","0","0"
"cell_198","cell",3310,1621,0.725075528700906,"3","3","3"
"cell_199","cell",3300,2031,0.0909090909090909,"2","2","2"
"cell_200","cell",3304,1660,0.151331719128329,"0","0","0"
"cell_201","cell",3300,1892,0.424242424242424,"5","5","5"
"cell_202","cell",3281,1910,0.121914050594331,"5","5","5"
"cell_203","cell",3285,1898,0.334855403348554,"0","0","0"
"cell_204","cell",3285,1984,0.182648401826484,"4","4","4"
"cell_205","cell",3277,1741,0.122062862374123,"6","6","6"
"cell_206","cell",3267,1854,0.0918273645546373,"5","5","5"
"cell_207","cell",3264,2049,0.0306372549019608,"0","8","8"
"cell_208","cell",3254,2009,0.0921942224953903,"0","8","8"
"cell_209","cell",3245,1866,0.12326656394453,"0","0","0"
"cell_210","cell",3247,1915,0.153988296889436,"4","4","4"
"cell_211","cell",3232,1871,0.15470297029703,"6","6","6"
"cell_212","cell",3242,1890,0.123380629241209,"4","4","4"
"cell_213","cell",3231,1822,0.0928505106778087,"0","0","0"
"cell_214","cell",3232,1782,0.649752475247525,"0","0","0"
"cell_215","cell",3222,1765,0.0931098696461825,"5","5","5"
"cell_216","cell",3229,1966,0.61938680706101,"0","0","0"
"cell_217","cell",3210,1878,0.186915887850467,"3","3","3"
"cell_218","cell",3193,1792,0.0313185092389602,"0","0","0"
"cell_219","cell",3195,1715,0.0625978090766823,"0","0","0"
"cell_220","cell",3193,1710,0.187911055433761,"4","4","4"
"cell_221","cell",3188,1875,0.501882057716437,"2","2","2"
"cell_222","cell",3187,1862,0.47066206463759,"5","5","5"
"cell_223","cell",3172,1702,0.157629255989912,"5","5","5"
"cell_224","cell",3171,1869,0,"5","5","5"
"cell_225","cell",3172,1774,0.220680958385876,"2","1","1"
"cell_226","cell",3171,1917,0.914538000630716,"2","2","2"
"cell_227","cell",3170,1857,0.189274447949527,"3","3","3"
"cell_228","cell",3163,2038,0.094846664558963,"4","4","4"
"cell_229","cell",3166,1748,0.284270372710044,"0","8","8"
"cell_230","cell",3162,1694,0.221378874130297,"3","3","3"
"cell_231","cell",3164,1831,0.126422250316056,"0","0","0"
"cell_232","cell",3150,1958,0.285714285714286,"4","4","4"
"cell_233","cell",3146,1650,0.190718372536554,"0","0","0"
"cell_234","cell",3141,1773,0.0955109837631328,"1","1","1"
"cell_235","cell",3143,1868,0.286350620426344,"2","1","1"
"cell_236","cell",3140,1937,0.127388535031847,"3","3","3"
"cell_237","cell",3144,1979,0.508905852417303,"0","0","0"
"cell_238","cell",3136,1680,0.127551020408163,"3","3","3"
"cell_239","cell",3131,1533,0.255509421909933,"5","5","5"
"cell_240","cell",3123,1906,0.192122958693564,"4","4","4"
"cell_241","cell",3114,1972,0.289017341040462,"4","4","4"
"cell_242","cell",3112,1769,0.12853470437018,"4","4","4"
"cell_243","cell",3107,1768,0.354039266173157,"5","5","5"
"cell_244","cell",3109,1898,0.225152782245095,"4","2","2"
"cell_245","cell",3099,1809,0.0645369474023879,"2","2","2"
"cell_246","cell",3084,1900,0.194552529182879,"0","0","0"
"cell_247","cell",3082,1882,0.129785853341986,"2","2","2"
"cell_248","cell",3085,1854,0,"4","4","4"
"cell_249","cell",3081,1708,0.129827977929244,"5","5","5"
"cell_250","cell",3081,1747,0.35702693930542,"0","0","0"
"cell_251","cell",3080,1771,0.162337662337662,"4","4","4"
"cell_252","cell",3070,1640,0.0325732899022801,"2","2","2"
"cell_253","cell",3061,1673,0.130676249591637,"5","5","5"
"cell_254","cell",3066,1699,0.358773646444879,"0","8","8"
"cell_255","cell",3063,1671,0.19588638589618,"5","5","5"
"cell_256","cell",3057,1517,0.327118089630357,"0","0","0"
"cell_257","cell",3054,1819,0.0982318271119843,"4","4","4"
"cell_258","cell",3050,1598,0.0983606557377049,"3","3","3"
"cell_259","cell",3048,1921,0.26246719160105,"1","1","1"
"cell_260","cell",3052,1672,0.196592398427261,"5","5","5"
"cell_261","cell",3042,1802,0.262984878369494,"1","1","1"
"cell_262","cell",3034,1869,0.16479894528675,"2","2","2"
"cell_263","cell",3029,1749,0.0660283922086497,"0","0","0"
"cell_264","cell",3031,1853,0.329924117452986,"2","2","2"
"cell_265","cell",3027,1828,0.165180046250413,"5","5","5"
"cell_266","cell",3027,1720,0,"0","0","0"
"cell_267","cell",3016,1757,0.364721485411141,"5","5","5"
"cell_268","cell",3018,1517,0.397614314115308,"3","3","3"
"cell_269","cell",3018,1491,0.265076209410205,"3","3","3"
"cell_270","cell",3007,1761,0.266045892916528,"0","0","0"
"cell_271","cell",3004,1786,0.399467376830892,"5","5","5"
"cell_272","cell",3006,1677,0.432468396540253,"0","11","11"
"cell_273","cell",2996,1786,0.0333778371161549,"4","4","4"
"cell_274","cell",2988,1495,0.568942436412316,"3","3","3"
"cell_275","cell",3001,1976,0.233255581472842,"0","0","0"
"cell_276","cell",2989,1480,0.100368016058883,"3","3","3"
"cell_277","cell",2992,1878,0.0668449197860962,"4","4","4"
"cell_278","cell",2996,1616,0.166889185580774,"0","0","0"
"cell_279","cell",2981,1821,0.0335457900033546,"4","4","4"
"cell_280","cell",2986,1706,0.0669792364367046,"0","0","0"
"cell_281","cell",2977,1816,0.0335908632851864,"4","4","4"
"cell_282","cell",2976,1670,0.235215053763441,"0","0","0"
"cell_283","cell",2977,1723,0.302317769566678,"4","4","4"
"cell_284","cell",2967,1740,0.101112234580384,"6","6","6"
"cell_285","cell",2957,1787,0.676361176868448,"4","4","4"
"cell_286","cell",2955,1531,0.0338409475465313,"3","3","3"
"cell_287","cell",2960,1728,0.0337837837837838,"5","5","5"
"cell_288","cell",2953,1475,0.0677277345072807,"3","3","3"
"cell_289","cell",2945,1719,0.135823429541596,"0","0","0"
"cell_290","cell",2939,1580,0.30622660768969,"5","5","5"
"cell_291","cell",2939,1695,0.102075535896563,"0","0","0"
"cell_292","cell",2927,1807,0.17082336863683,"0","8","8"
"cell_293","cell",2934,1693,0.647580095432856,"0","0","0"
"cell_294","cell",2925,1635,0.478632478632479,"0","0","0"
"cell_295","cell",2924,1873,0.376196990424077,"4","4","4"
"cell_296","cell",2925,1790,0.512820512820513,"0","0","0"
"cell_297","cell",2918,1696,0.102810143934202,"3","3","3"
"cell_298","cell",2917,1594,0.0685635927322592,"0","0","0"
"cell_299","cell",2917,1699,0.0342817963661296,"0","0","0"
"cell_300","cell",2918,1636,0.171350239890336,"0","0","0"
"cell_301","cell",2912,1896,0.206043956043956,"4","4","4"
"cell_302","cell",2906,1650,0.206469373709566,"3","3","3"
"cell_303","cell",2910,1802,0.240549828178694,"4","4","4"
"cell_304","cell",2895,1656,0.414507772020725,"0","0","0"
"cell_305","cell",2901,1571,0.206825232678387,"7","7","7"
"cell_306","cell",2895,1774,0.138169257340242,"2","2","2"
"cell_307","cell",2895,1757,0.172711571675302,"4","4","4"
"cell_308","cell",2900,1643,0,"5","5","5"
"cell_309","cell",2889,1680,0.380754586362063,"0","11","11"
"cell_310","cell",2886,1736,0.0346500346500346,"2","2","2"
"cell_311","cell",2880,1777,0.138888888888889,"2","2","2"
"cell_312","cell",2888,1643,0.173130193905817,"5","5","5"
"cell_313","cell",2881,1593,0.208261020479,"5","5","5"
"cell_314","cell",2852,1676,0.455820476858345,"0","1","1"
"cell_315","cell",2854,1777,0.595655220742817,"2","1","1"
"cell_316","cell",2851,1655,0.105226236408278,"7","7","7"
"cell_317","cell",2849,1693,0.105300105300105,"2","2","2"
"cell_318","cell",2843,1632,0.0351741118536757,"5","5","5"
"cell_319","cell",2846,1825,0.0351370344342937,"4","4","4"
"cell_320","cell",2845,1620,0.175746924428822,"5","5","5"
"cell_321","cell",2840,1557,0.387323943661972,"0","0","0"
"cell_322","cell",2839,1704,0.105671010919338,"2","2","2"
"cell_323","cell",2845,1601,0.0351493848857645,"1","1","1"
"cell_324","cell",2841,1675,0.0703977472720873,"0","0","0"
"cell_325","cell",2842,1610,0.0351864883884588,"0","0","0"
"cell_326","cell",2847,1707,0.386371619248332,"0","0","0"
"cell_327","cell",2844,1543,0.070323488045007,"0","0","0"
"cell_328","cell",2837,1776,0.0352485019386676,"0","0","0"
"cell_329","cell",2837,1516,0.14099400775467,"5","5","5"
"cell_330","cell",2835,1656,0.105820105820106,"0","0","0"
"cell_331","cell",2819,1724,0.212841433132316,"0","8","8"
"cell_332","cell",2826,1787,0.212314225053079,"4","4","4"
"cell_333","cell",2809,1665,0.249199003203987,"2","2","2"
"cell_334","cell",2805,1642,0.17825311942959,"0","0","0"
"cell_335","cell",2791,1462,0.143317807237549,"3","3","3"
"cell_336","cell",2789,1377,0.501972032986734,"3","3","3"
"cell_337","cell",2786,1509,0.430725053840632,"3","3","3"
"cell_338","cell",2787,1420,0.322927879440258,"0","0","0"
"cell_339","cell",2782,1640,0.0718907260963336,"0","0","0"
"cell_340","cell",2765,1568,0.0723327305605787,"0","0","0"
"cell_341","cell",2762,1664,0.0724112961622013,"4","4","4"
"cell_342","cell",2763,1692,0.0723850886717336,"4","4","4"
"cell_343","cell",2764,1468,0.361794500723589,"5","5","5"
"cell_344","cell",2760,1584,0.108695652173913,"0","0","0"
"cell_345","cell",2759,1477,0.0362450163102573,"3","3","3"
"cell_346","cell",2744,1434,0.32798833819242,"3","3","3"
"cell_347","cell",2745,1513,0.728597449908925,"5","5","5"
"cell_348","cell",2749,1573,0.109130592942888,"0","0","0"
"cell_349","cell",2747,1465,0.509646887513651,"3","3","3"
"cell_350","cell",2745,1703,0.0728597449908925,"4","4","4"
"cell_351","cell",2744,1675,0,"0","0","0"
"cell_352","cell",2745,1643,0.145719489981785,"0","0","0"
"cell_353","cell",2732,1688,0.0732064421669107,"0","0","0"
"cell_354","cell",2735,1706,0.255941499085923,"4","4","4"
"cell_355","cell",2737,1465,0.219218122031421,"0","0","0"
"cell_356","cell",2729,1582,0.549651887138146,"0","0","0"
"cell_357","cell",2730,1707,0.10989010989011,"4","4","4"
"cell_358","cell",2731,1471,0.146466495789088,"0","0","0"
"cell_359","cell",2731,1500,0.329549615525449,"0","0","0"
"cell_360","cell",2723,1714,0.110172603745869,"2","2","2"
"cell_361","cell",2719,1609,0.0735564545788893,"6","6","6"
"cell_362","cell",2715,1715,0.110497237569061,"6","6","6"
"cell_363","cell",2716,1602,0.220913107511046,"2","2","2"
"cell_364","cell",2714,1546,0.147383935151069,"6","6","6"
"cell_365","cell",2707,1675,0.221647580347248,"2","2","2"
"cell_366","cell",2714,1573,0.110537951363301,"5","5","5"
"cell_367","cell",2705,1601,0.369685767097967,"0","0","0"
"cell_368","cell",2707,1417,0.443295160694496,"0","0","0"
"cell_369","cell",2704,1535,0.18491124260355,"6","6","6"
"cell_370","cell",2707,1600,0.517177687476912,"0","0","0"
"cell_371","cell",2697,1327,0.148312940304042,"3","3","3"
"cell_372","cell",2700,1613,0.111111111111111,"4","4","4"
"cell_373","cell",2694,1390,0.259836674090572,"3","3","3"
"cell_374","cell",2695,1662,0.222634508348794,"2","2","2"
"cell_375","cell",2698,1597,0.259451445515196,"2","2","2"
"cell_376","cell",2691,1741,0.260126347082869,"4","4","4"
"cell_377","cell",2695,1626,0.0742115027829314,"0","0","0"
"cell_378","cell",2692,1575,0.185735512630015,"5","5","5"
"cell_379","cell",2689,1678,0.0743770918557084,"2","2","2"
"cell_380","cell",2686,1443,0.0744601638123604,"5","5","5"
"cell_381","cell",2691,1559,0.0743218134522482,"0","0","0"
"cell_382","cell",2681,1600,0.149198060425214,"0","0","0"
"cell_383","cell",2682,1428,0.335570469798658,"3","3","3"
"cell_384","cell",2683,1535,0.33544539694372,"0","8","8"
"cell_385","cell",2676,1608,0.896860986547085,"5","5","5"
"cell_386","cell",2681,1701,0.298396120850429,"1","1","1"
"cell_387","cell",2672,1623,0.261976047904192,"0","0","0"
"cell_388","cell",2677,1537,0.112065745237206,"0","0","0"
"cell_389","cell",2673,1486,0.149644594089039,"0","0","0"
"cell_390","cell",2665,1433,0.337711069418386,"3","3","3"
"cell_391","cell",2671,1588,0.224634968176713,"0","2","2"
"cell_392","cell",2659,1718,0.150432493418578,"6","6","6"
"cell_393","cell",2663,1399,0.751032669921142,"3","3","3"
"cell_394","cell",2651,1587,0.377216144851,"5","5","5"
"cell_395","cell",2657,1744,0.11290929619872,"4","4","4"
"cell_396","cell",2649,1443,0.18875047187618,"0","0","0"
"cell_397","cell",2653,1546,0.150772710139465,"0","0","0"
"cell_398","cell",2650,1423,0.30188679245283,"0","8","8"
"cell_399","cell",2645,1490,0.302457466918715,"0","0","0"
"cell_400","cell",2638,1616,0.227445034116755,"0","0","0"
"cell_401","cell",2629,1675,0.0760745530620008,"4","2","2"
"cell_402","cell",2631,1479,0.0760167236792094,"5","5","5"
"cell_403","cell",2633,1488,0.227876946448918,"7","7","7"
"cell_404","cell",2627,1588,0.266463646745337,"4","4","4"
"cell_405","cell",2627,1332,0.761324704986677,"3","3","3"
"cell_406","cell",2624,1543,0.457317073170732,"5","5","5"
"cell_407","cell",2614,1444,0.306044376434583,"3","3","3"
"cell_408","cell",2609,1666,0.076657723265619,"8","9","9"
"cell_409","cell",2616,1491,0.229357798165138,"8","9","9"
"cell_410","cell",2618,1508,0.152788388082506,"0","0","0"
"cell_411","cell",2613,1357,0.0765403750478377,"3","3","3"
"cell_412","cell",2613,1353,0.153080750095675,"3","3","3"
"cell_413","cell",2607,1492,0.498657460682777,"2","2","2"
"cell_414","cell",2606,1649,0.422102839600921,"2","2","2"
"cell_415","cell",2598,1382,0.423402617397998,"3","3","3"
"cell_416","cell",2606,1451,0.153491941673062,"0","0","0"
"cell_417","cell",2601,1521,0.0768935024990388,"2","2","2"
"cell_418","cell",2599,1688,0.0769526741054252,"4","4","4"
"cell_419","cell",2602,1533,0.192159877017679,"0","0","0"
"cell_420","cell",2597,1645,0.0770119368502118,"4","4","4"
"cell_421","cell",2596,1572,0.423728813559322,"2","2","2"
"cell_422","cell",2596,1623,0.500770416024653,"0","0","0"
"cell_423","cell",2585,1646,0.0773694390715667,"4","4","4"
"cell_424","cell",2581,1378,0.464936071290198,"3","3","3"
"cell_425","cell",2581,1447,0.619914761720263,"0","0","0"
"cell_426","cell",2581,1326,0,"0","0","0"
"cell_427","cell",2575,1629,0.0388349514563107,"4","4","4"
"cell_428","cell",2580,1483,0.271317829457364,"5","5","5"
"cell_429","cell",2573,1531,0.116595413913719,"4","4","4"
"cell_430","cell",2574,1554,0.310800310800311,"0","1","1"
"cell_431","cell",2571,1343,0.155581485803189,"3","3","3"
"cell_432","cell",2566,1637,0.155884645362432,"2","2","2"
"cell_433","cell",2569,1517,0.311405216037369,"3","3","3"
"cell_434","cell",2561,1697,0.390472471690746,"4","4","4"
"cell_435","cell",2565,1665,0,"1","1","1"
"cell_436","cell",2559,1566,3.75146541617819,"0","0","0"
"cell_437","cell",2558,1565,0.0390930414386239,"0","0","0"
"cell_438","cell",2559,1503,0,"0","0","0"
"cell_439","cell",2553,1593,0.27418723070897,"0","8","8"
"cell_440","cell",2558,1405,0,"2","1","1"
"cell_441","cell",2560,1460,0.1171875,"0","0","0"
"cell_442","cell",2556,1463,0.117370892018779,"4","4","4"
"cell_443","cell",2555,1686,0.391389432485323,"4","4","4"
"cell_444","cell",2546,1509,1.09976433621367,"6","6","6"
"cell_445","cell",2550,1443,0.352941176470588,"0","0","0"
"cell_446","cell",2546,1574,0.11783189316575,"0","0","0"
"cell_447","cell",2542,1487,0.43273013375295,"0","0","0"
"cell_448","cell",2539,1253,0.433241433635289,"3","3","3"
"cell_449","cell",2532,1518,0.23696682464455,"2","2","2"
"cell_450","cell",2530,1658,0.0395256916996047,"2","2","2"
"cell_451","cell",2528,1514,0.0791139240506329,"4","4","4"
"cell_452","cell",2521,1424,1.0710035700119,"5","5","5"
"cell_453","cell",2517,1452,0.595947556615018,"0","0","0"
"cell_454","cell",2511,1724,0,"4","4","4"
"cell_455","cell",2517,1458,1.27135478744537,"3","3","3"
"cell_456","cell",2513,1516,0.198965380023876,"2","2","2"
"cell_457","cell",2518,1261,0.158856235107228,"3","3","3"
"cell_458","cell",2517,1423,0.834326579261025,"0","0","0"
"cell_459","cell",2520,1487,0.277777777777778,"3","3","3"
"cell_460","cell",2512,1417,0,"7","7","7"
"cell_461","cell",2505,1433,0.279441117764471,"5","5","5"
"cell_462","cell",2500,1669,0.2,"4","4","4"
"cell_463","cell",2500,1631,0.12,"4","9","9"
"cell_464","cell",2494,1566,0.481154771451484,"4","2","2"
"cell_465","cell",2501,1436,1.39944022391044,"0","0","0"
"cell_466","cell",2505,1481,0.0798403193612774,"4","4","4"
"cell_467","cell",2496,1518,0.0801282051282051,"0","0","0"
"cell_468","cell",2491,1574,0.200722601364914,"0","0","0"
"cell_469","cell",2490,1560,0.0803212851405622,"4","4","4"
"cell_470","cell",2488,1453,0.482315112540193,"0","0","0"
"cell_471","cell",2492,1362,0.280898876404494,"5","5","5"
"cell_472","cell",2490,1468,0.0401606425702811,"0","0","0"
"cell_473","cell",2491,1414,0.682456844640707,"0","0","0"
"cell_474","cell",2484,1512,0.241545893719807,"1","1","1"
"cell_475","cell",2486,1503,0.160901045856798,"1","1","1"
"cell_476","cell",2486,1582,0.201126307320998,"0","1","1"
"cell_477","cell",2479,1608,0.0806776926179911,"4","4","4"
"cell_478","cell",2487,1505,0.120627261761158,"0","0","0"
"cell_479","cell",2480,1510,0.0403225806451613,"2","2","2"
"cell_480","cell",2483,1557,0.281917035843737,"0","0","0"
"cell_481","cell",2474,1590,0.121261115602264,"4","4","4"
"cell_482","cell",2473,1496,0.444803881924788,"5","5","5"
"cell_483","cell",2480,1496,0.92741935483871,"2","2","2"
"cell_484","cell",2475,1330,0.686868686868687,"3","3","3"
"cell_485","cell",2467,1490,0.243210376976084,"5","5","5"
"cell_486","cell",2464,1646,0,"4","4","4"
"cell_487","cell",2465,1461,0.121703853955375,"0","0","0"
"cell_488","cell",2464,1498,0.121753246753247,"5","5","5"
"cell_489","cell",2462,1620,0,"4","4","4"
"cell_490","cell",2459,1469,0.162667751118341,"0","0","0"
"cell_491","cell",2457,1536,0.162800162800163,"4","4","4"
"cell_492","cell",2455,1533,0.162932790224033,"2","2","2"
"cell_493","cell",2460,1549,0.0813008130081301,"2","2","2"
"cell_494","cell",2459,1358,0.0406669377795852,"0","0","0"
"cell_495","cell",2453,1507,0.040766408479413,"1","1","1"
"cell_496","cell",2459,1351,0.366002440016267,"3","3","3"
"cell_497","cell",2451,1571,0.0407996736026112,"4","4","4"
"cell_498","cell",2455,1392,0.162932790224033,"0","0","0"
"cell_499","cell",2454,1476,0.529747351263244,"0","0","0"
"cell_500","cell",2451,1573,0.244798041615667,"4","4","4"
"cell_501","cell",2454,1256,0.122249388753056,"0","10","10"
