"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","RNA_snn_res.0.8","seurat_clusters"
"cell_1280","cell",6361,2420,0.172928784782267,"0","0"
"cell_1354","cell",5987,2333,0.28394855520294,"0","0"
"cell_1358","cell",5968,2489,0.0837801608579088,"2","2"
"cell_1405","cell",5724,2417,0.0873515024458421,"0","0"
"cell_1415","cell",5681,2429,0.264038021475092,"0","0"
"cell_1421","cell",5657,1953,0.159094926639562,"3","3"
"cell_1434","cell",5590,2292,0.0715563506261181,"0","0"
"cell_1435","cell",5586,2421,0.465449337629789,"3","3"
"cell_1454","cell",5490,2486,0,"0","0"
"cell_1460","cell",5472,2408,0.584795321637427,"0","0"
"cell_1461","cell",5463,2397,0.274574409665019,"0","0"
"cell_1465","cell",5453,2191,0.568494406748579,"0","0"
"cell_1467","cell",5452,2267,0.0550256786500367,"0","0"
"cell_1474","cell",5428,2498,1.14222549742078,"0","0"
"cell_1482","cell",5397,2400,0.277932184546971,"0","0"
"cell_1485","cell",5392,2438,0.259643916913947,"0","0"
"cell_1487","cell",5391,2434,0.204043776664812,"0","0"
"cell_1495","cell",5351,2462,0.336385722294898,"0","0"
"cell_1496","cell",5348,2489,1.2715033657442,"0","0"
"cell_1498","cell",5345,2219,0.0561272217025257,"0","0"
"cell_1499","cell",5345,2429,0.710944808231992,"0","0"
"cell_1509","cell",5318,2338,0.73335840541557,"0","0"
"cell_1518","cell",5295,2440,0.151085930122757,"0","0"
"cell_1523","cell",5275,2359,0.834123222748815,"3","3"
"cell_1524","cell",5271,2397,0.0189717321191425,"0","0"
"cell_1526","cell",5265,2256,0.778727445394112,"0","0"
"cell_1533","cell",5228,2497,0.478194338179036,"0","0"
"cell_1538","cell",5214,2377,0.843881856540084,"1","1"
"cell_1539","cell",5211,2419,1.99577816158127,"2","2"
"cell_1542","cell",5192,2339,0.0577812018489985,"0","0"
"cell_1546","cell",5174,2375,0.637804406648628,"3","3"
"cell_1551","cell",5160,2370,2.03488372093023,"3","3"
"cell_1553","cell",5157,2369,1.74520069808028,"3","3"
"cell_1559","cell",5134,2329,0.292169848071679,"0","0"
"cell_1560","cell",5132,2254,0.233826968043648,"0","0"
"cell_1563","cell",5117,2026,0.644909126441274,"3","3"
"cell_1569","cell",5105,2398,0.646425073457395,"0","0"
"cell_1570","cell",5105,2450,0.019588638589618,"0","0"
"cell_1573","cell",5096,2467,0.235478806907378,"1","1"
"cell_1579","cell",5078,2314,0.275699094131548,"3","3"
"cell_1581","cell",5073,2343,0.374531835205993,"1","1"
"cell_1582","cell",5068,2423,0.138121546961326,"0","0"
"cell_1584","cell",5063,2403,0.355520442425439,"0","0"
"cell_1599","cell",5003,2481,1.15930441734959,"0","0"
"cell_1602","cell",4995,2379,0.940940940940941,"0","0"
"cell_1604","cell",4988,2460,0.521251002405774,"1","1"
"cell_1606","cell",4987,2427,1.3234409464608,"0","0"
"cell_1608","cell",4985,2468,0.200601805416249,"0","0"
"cell_1609","cell",4986,2395,0.0601684717208183,"0","0"
"cell_1611","cell",4976,2404,0.221061093247588,"0","0"
"cell_1613","cell",4969,2489,0.160998188770376,"0","0"
"cell_1616","cell",4960,2009,0.32258064516129,"0","0"
"cell_1617","cell",4955,2427,2.13925327951564,"0","0"
"cell_1618","cell",4953,2435,0.92873006258833,"0","0"
"cell_1621","cell",4952,2023,0.888529886914378,"0","0"
"cell_1622","cell",4944,1653,1.17313915857605,"0","0"
"cell_1623","cell",4942,2445,0.141643059490085,"1","1"
"cell_1625","cell",4938,2199,0.0405022276225192,"0","0"
"cell_1630","cell",4898,2209,0.244997958350347,"0","0"
"cell_1631","cell",4897,2136,0.367571982846641,"0","0"
"cell_1633","cell",4879,2447,0.184464029514245,"0","0"
"cell_1635","cell",4869,2485,1.5608954610803,"2","2"
"cell_1636","cell",4870,2358,0.205338809034908,"0","0"
"cell_1637","cell",4870,2492,0.574948665297741,"2","2"
"cell_1638","cell",4867,2498,0.0410930758167249,"0","0"
"cell_1642","cell",4856,2475,0.391268533772652,"1","1"
"cell_1644","cell",4846,2485,2.62071811803549,"2","2"
"cell_1645","cell",4838,2321,0.268706076891277,"0","0"
"cell_1646","cell",4829,2459,0.579830192586457,"0","0"
"cell_1649","cell",4821,2369,0.974901472723501,"0","0"
"cell_1651","cell",4827,2204,2.1752641392169,"3","3"
"cell_1654","cell",4815,2373,0.207684319833853,"0","0"
"cell_1655","cell",4808,2453,0.291181364392679,"0","0"
"cell_1656","cell",4809,2291,0.228737783322936,"0","0"
