"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",3.36217288654724e-196,2.12977401815153,0.972,0.44,9.26513982345823e-192,"0","PTGDS"
"2",1.04559241254636e-169,1.05404251917756,1,0.989,2.88133901125402e-165,"0","FTH1"
"3",1.23760363210898e-136,1.99264338711689,0.774,0.151,3.41046432900273e-132,"0","DAPL1"
"4",4.10557181618234e-136,1.4823598316666,0.879,0.366,1.13137242538537e-131,"0","ASAH1"
"5",2.61915489008889e-131,1.45263742212484,0.949,0.453,7.21760513061796e-127,"0","APOE"
"6",8.81684808651768e-128,1.2262360762837,0.977,0.649,2.42965882720168e-123,"0","CLU"
"7",1.59897108003619e-127,1.3967687420706,0.973,0.621,4.40628460525572e-123,"0","MT2A"
"8",1.76504588083003e-122,2.14048794358134,0.757,0.191,4.86393693380331e-118,"0","MYLK"
"9",1.22784977313337e-121,2.28689249859998,0.926,0.71,3.38358561982364e-117,"0","CRYGS"
"10",5.82189097494876e-119,1.20055967609059,0.945,0.554,1.60433849596663e-114,"0","HSPB1"
"11",1.13916140224536e-118,1.32335857623794,0.815,0.248,3.13918707616754e-114,"0","CYSTM1"
"12",2.31925564607099e-115,1.56292038611532,0.765,0.197,6.39117278387784e-111,"0","FBXO32"
"13",3.99646468774727e-113,1.72162205579428,0.733,0.181,1.10130577400251e-108,"0","GPNMB"
"14",6.81371100933397e-103,1.13160989655027,0.894,0.521,1.87765434284216e-98,"0","HLA-A"
"15",7.1527534238404e-103,1.19327508710427,0.867,0.419,1.9710842610077e-98,"0","SQSTM1"
"16",9.21343404793509e-95,1.27388977727613,0.844,0.409,2.53894602058947e-90,"0","LINC00844"
"17",6.83308742524673e-93,1.05628916976185,0.88,0.484,1.88299390177524e-88,"0","GLUL"
"18",2.90574549634289e-91,1.29142706036268,0.83,0.372,8.0073628642721e-87,"0","MT1X"
"19",6.12828232108813e-91,1.28393700518838,0.707,0.185,1.68877075922226e-86,"0","HLA-B"
"20",2.72883994778396e-90,1.29988359330063,0.878,0.532,7.51986424410826e-86,"0","IGFBP5"
"21",9.60431552219352e-89,1.1707455850756,0.755,0.274,2.64666122845087e-84,"0","NPC2"
"22",2.00689918145119e-88,1.31087618554053,0.632,0.127,5.53041207432506e-84,"0","CAV1"
