"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","RNA_snn_res.0.8","seurat_clusters"
"cell_89","cell",18707,4904,0.171058961885925,"0","0"
"cell_96","cell",18458,4921,0.151695741683823,"0","0"
"cell_98","cell",18388,4866,0.206656515118556,"0","0"
"cell_106","cell",18142,4941,0.192922500275604,"5","5"
"cell_107","cell",18100,4924,0.132596685082873,"3","3"
"cell_108","cell",18049,4991,0.132971355753781,"5","5"
"cell_116","cell",17757,4999,0.281579095567945,"0","0"
"cell_122","cell",17591,4984,0.352452958899437,"0","0"
"cell_124","cell",17585,4821,0.108046630651123,"0","0"
"cell_131","cell",17343,4806,0.2710027100271,"0","0"
"cell_140","cell",17019,4701,0.164522004818144,"0","0"
"cell_151","cell",16717,4986,0.203385774959622,"0","0"
"cell_154","cell",16528,4455,0.0363020329138432,"3","3"
"cell_155","cell",16490,4981,0.812613705275925,"5","5"
"cell_159","cell",16409,4858,0.170638064476812,"0","0"
"cell_161","cell",16398,4862,0.256128796194658,"1","1"
"cell_162","cell",16363,4933,0.317790136283078,"0","0"
"cell_163","cell",16358,4583,0.0672453845213351,"0","0"
"cell_168","cell",16240,4926,0.0246305418719212,"0","0"
"cell_173","cell",16075,4968,0.0186625194401244,"3","3"
"cell_174","cell",16063,4931,0.155637178609226,"0","0"
"cell_176","cell",15975,4840,0.250391236306729,"0","0"
"cell_178","cell",15957,4805,0.0376010528294792,"3","3"
"cell_181","cell",15877,4949,0.491276689550923,"5","5"
"cell_182","cell",15859,4701,0.655779052903714,"0","0"
"cell_185","cell",15843,4838,0.189358076121947,"3","3"
"cell_187","cell",15834,4677,0.0442086648983201,"1","1"
"cell_192","cell",15555,4929,0.424300867888139,"0","0"
"cell_194","cell",15512,4328,0.257864878803507,"6","6"
"cell_195","cell",15502,4434,0.129015610888918,"0","0"
"cell_197","cell",15444,4698,0.796425796425796,"5","5"
"cell_199","cell",15428,4973,0.0388903292714545,"3","3"
"cell_200","cell",15386,4808,0.857922786949175,"0","0"
"cell_201","cell",15356,4700,0.247460276113571,"2","2"
"cell_202","cell",15354,4820,0.41031652989449,"3","3"
"cell_204","cell",15294,4816,0.170001307702367,"3","3"
"cell_205","cell",15272,4595,1.47983237297014,"1","1"
"cell_206","cell",15227,4813,0.256123990280423,"1","1"
"cell_209","cell",15169,4809,0.0857011009295273,"0","0"
"cell_210","cell",15138,4424,0.1585414189457,"3","3"
"cell_211","cell",15076,4747,0.145927301671531,"3","3"
"cell_213","cell",15051,4977,0.671051757358315,"4","4"
"cell_214","cell",15023,4751,0.166411502363043,"0","0"
"cell_216","cell",14998,4902,0.0933457794372583,"2","2"
"cell_218","cell",14940,4568,0.167336010709505,"3","3"
"cell_219","cell",14936,4598,0.033476164970541,"1","1"
"cell_220","cell",14905,4910,0.0872190540087219,"5","5"
"cell_221","cell",14901,4890,0.288571236829743,"0","0"
"cell_222","cell",14877,4995,0.208375344491497,"0","0"
"cell_223","cell",14865,4938,0.0874537504204507,"0","0"
"cell_224","cell",14834,4772,0.249426992045301,"0","0"
"cell_225","cell",14767,4896,0.284417958962552,"2","2"
"cell_226","cell",14768,4734,0.209913326110509,"5","5"
"cell_227","cell",14750,4909,0.630508474576271,"6","6"
"cell_230","cell",14656,4650,0.197871179039301,"0","0"
"cell_231","cell",14621,4977,1.21742698857807,"2","2"
"cell_232","cell",14620,4759,0.21203830369357,"1","1"
"cell_233","cell",14557,4672,0.254173249982826,"3","3"
"cell_234","cell",14535,4855,0.288957688338493,"3","3"
"cell_236","cell",14490,4773,1.19392684610076,"5","5"
"cell_237","cell",14486,4778,0.220902940770399,"1","1"
"cell_238","cell",14473,4423,0.290195536516272,"3","3"
"cell_239","cell",14443,4511,0.117704078100118,"3","3"
"cell_245","cell",14320,4596,0.111731843575419,"3","3"
"cell_246","cell",14305,4862,0.35651869975533,"2","2"
"cell_247","cell",14286,4574,0.167996640067199,"3","3"
"cell_248","cell",14280,4413,0.819327731092437,"0","0"
"cell_249","cell",14270,4284,0.028030833917309,"0","0"
"cell_250","cell",14252,4937,0.736738703339882,"1","1"
"cell_252","cell",14217,4950,0.365759302243793,"2","2"
"cell_253","cell",14209,4677,0.232247167288338,"4","4"
"cell_254","cell",14206,4655,0.0211178375334366,"0","0"
"cell_255","cell",14193,4513,0.676389769604735,"0","0"
"cell_256","cell",14190,3985,1.25440451021846,"3","3"
"cell_257","cell",14169,4727,0.374056037829063,"1","1"
"cell_258","cell",14154,4987,1.03151052705949,"4","4"
"cell_259","cell",14134,4651,0.261780104712042,"0","0"
"cell_260","cell",14123,4896,0.417758266657226,"1","1"
"cell_261","cell",14121,4674,0.23369449755683,"0","0"
"cell_262","cell",14111,4803,0.021260009921338,"1","1"
"cell_263","cell",14094,4112,0.567617425854974,"1","1"
"cell_264","cell",14096,4404,0.0922247446083996,"3","3"
"cell_266","cell",14072,4899,0.504548038658329,"1","1"
"cell_267","cell",14080,4851,0.482954545454545,"0","0"
"cell_268","cell",14074,4477,0.170527213301123,"1","1"
"cell_269","cell",14058,4860,0.142267747901551,"1","1"
"cell_270","cell",14036,4526,0.163864348817327,"5","5"
"cell_271","cell",14030,4576,0.192444761225944,"0","0"
"cell_272","cell",14027,4672,0.1211948385257,"0","0"
"cell_273","cell",13985,4762,0.0715051841258491,"0","0"
"cell_274","cell",13978,4931,0.944341107454571,"2","2"
"cell_275","cell",13951,4693,0.279549853057129,"0","0"
"cell_276","cell",13945,4694,0.236643958408032,"0","0"
"cell_277","cell",13941,4642,0.0502116060540851,"1","1"
"cell_278","cell",13882,4914,0.122460740527302,"0","0"
"cell_279","cell",13873,4408,0.252288618179197,"3","3"
"cell_280","cell",13868,4620,0.274012114219787,"0","0"
"cell_281","cell",13854,4725,0.057745055579616,"0","0"
"cell_282","cell",13831,4786,0.173523244884679,"0","0"
"cell_283","cell",13807,4546,0.152096762511769,"0","0"
"cell_284","cell",13806,4309,0.123134868897581,"0","0"
"cell_285","cell",13770,4661,0.0580973129992738,"2","2"
"cell_286","cell",13733,4301,0.116507682225297,"0","0"
"cell_287","cell",13682,4807,1.63718754568046,"4","4"
"cell_288","cell",13683,4930,0.708908865014982,"2","2"
"cell_289","cell",13658,4731,0.593059013032655,"0","0"
"cell_290","cell",13565,4822,1.82086251382234,"0","0"
"cell_291","cell",13538,4607,0.192052001772788,"0","0"
"cell_292","cell",13544,4604,0.214116952155936,"3","3"
"cell_293","cell",13487,4719,0.65248016608586,"3","3"
"cell_294","cell",13443,4778,2.17213419623596,"4","4"
"cell_295","cell",13429,4922,0.305309405018989,"2","2"
"cell_296","cell",13421,4804,0.149020192236048,"3","3"
"cell_297","cell",13408,4743,0.18645584725537,"3","3"
"cell_298","cell",13393,4929,0.343463003061301,"4","4"
"cell_299","cell",13390,4559,0.194174757281553,"1","1"
"cell_300","cell",13364,4570,0.074827895839569,"0","0"
"cell_301","cell",13338,4859,0.667266456740141,"2","2"
"cell_302","cell",13338,4498,0.509821562453141,"0","0"
"cell_303","cell",13298,4741,0.729432997443225,"1","1"
"cell_305","cell",13272,4392,0.248643761301989,"0","0"
"cell_306","cell",13256,4006,0.445081472540736,"3","3"
"cell_307","cell",13251,4654,0.128292204361935,"3","3"
"cell_308","cell",13256,4690,0.0829812914906457,"0","0"
"cell_309","cell",13255,4301,0.20369671821954,"0","0"
"cell_310","cell",13228,4301,0.128515270638041,"0","0"
"cell_311","cell",13211,4037,0.257361289834229,"6","6"
"cell_312","cell",13182,4852,0.417235624336216,"4","4"
"cell_313","cell",13189,4350,0.0530745318068087,"0","0"
"cell_314","cell",13181,4722,0.144146878082088,"0","0"
"cell_315","cell",13177,4520,0.394627001593686,"1","1"
"cell_316","cell",13158,4337,0.151998784009728,"2","2"
"cell_317","cell",13144,4700,0.433657942787584,"1","1"
"cell_318","cell",13133,4796,0.0913728774842001,"1","1"
"cell_319","cell",13128,4809,0.373248019500305,"3","3"
"cell_320","cell",13121,4232,0.0914564438686076,"0","0"
"cell_321","cell",13124,4422,0.312404754647973,"1","1"
"cell_322","cell",13118,4616,0.0762311327946333,"1","1"
"cell_323","cell",13109,4515,0.305133877488748,"0","0"
"cell_324","cell",13060,4604,0.727411944869832,"3","3"
"cell_325","cell",13063,4493,0.0918625124397152,"1","1"
"cell_326","cell",13059,4802,0.390535263036986,"6","6"
"cell_327","cell",13049,4122,0.122614759751705,"3","3"
"cell_328","cell",13031,4753,0.230220244033459,"0","0"
"cell_329","cell",13031,4340,0.376026398587982,"0","0"
"cell_330","cell",13030,4514,0.314658480429777,"6","6"
"cell_331","cell",13019,4595,0.122897303940395,"3","3"
"cell_332","cell",12982,4521,0.0924356801725466,"3","3"
"cell_333","cell",12971,4470,0.292961221185722,"0","0"
"cell_334","cell",12966,4576,0.308499151627333,"2","2"
"cell_335","cell",12970,4663,0.53970701619121,"1","1"
"cell_336","cell",12949,4654,0.656421345277628,"0","0"
"cell_338","cell",12931,4342,0.70373520996056,"1","1"
"cell_339","cell",12926,4039,0.193408633761411,"0","0"
"cell_340","cell",12909,4491,0.0619722674103339,"3","3"
"cell_341","cell",12910,4531,0.170410534469404,"0","0"
"cell_342","cell",12908,4513,0.387356678029129,"6","6"
"cell_343","cell",12900,4758,0.294573643410853,"2","2"
"cell_344","cell",12858,4866,0.489967335510966,"2","2"
